,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
18,,3.0,37.5,0.8333333333333334,-37.5,0.8333333333333334,121.5,0.8,121.5,0.8695652173913043,5.0,,2:2^,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,28.0,0.0,20181026170522.0,11079^21077
19,,3.0,37.5,0.8333333333333334,-37.5,0.8333333333333334,121.5,0.8,121.5,0.8695652173913043,5.0,,,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,28.0,0.0,20181026170522.0,21077.0
20,,3.0,37.5,0.8333333333333334,-37.5,0.8333333333333334,121.5,0.8,121.5,0.8695652173913043,5.0,,,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,28.0,1.0,20181026170524.0,21077.0
21,,3.0,37.5,0.8333333333333334,-37.5,0.8333333333333334,120.5,0.8695652173913043,120.5,0.8,5.0,,,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,19.0,1.0,20181026170532.0,21077.0
22,,3.0,37.5,0.8333333333333334,-37.5,0.8333333333333334,120.5,0.8333333333333334,120.5,0.8333333333333334,5.0,,,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,14.0,1.0,20181026170537.0,21095.0
23,,3.0,38.5,0.8333333333333334,-38.5,0.8333333333333334,120.5,0.8333333333333334,120.5,0.8333333333333334,4.0,,,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,14.0,0.0,20181026170537.0,11077.0
24,,3.0,38.5,0.8333333333333334,-38.5,0.8333333333333334,120.5,0.8333333333333334,120.5,0.8333333333333334,4.0,,,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,14.0,1.0,20181026170550.0,11077.0
25,,3.0,38.5,0.8,-38.5,0.8695652173913043,119.5,0.9090909090909091,119.5,0.7692307692307693,4.0,,,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,6.0,0.0,20181026170558.0,11077.0
26,,3.0,37.5,0.8,-37.5,0.8695652173913043,119.5,0.9090909090909091,119.5,0.7692307692307693,5.0,,,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,6.0,0.0,20181026170559.0,21077.0
27,,3.0,37.5,0.8,-37.5,0.8695652173913043,119.5,0.9090909090909091,119.5,0.7692307692307693,5.0,,,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,6.0,1.0,20181026170612.0,21077.0
28,,3.0,37.5,0.8,-37.5,0.8695652173913043,119.5,0.8695652173913043,119.5,0.8,5.0,,,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,1.0,0.0,20181026170617.0,21077.0
29,,3.0,38.5,0.8,-38.5,0.8695652173913043,119.5,0.8695652173913043,119.5,0.8,4.0,,,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,1.0,0.0,20181026170619.0,11077.0
30,,3.0,38.5,0.8,-38.5,0.8695652173913043,119.5,0.8695652173913043,119.5,0.8,4.0,,,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,1.0,1.0,20181026170628.0,11077.0
31,,3.0,37.5,0.8333333333333334,-37.5,0.8333333333333334,119.5,0.8333333333333334,119.5,0.8333333333333334,5.0,,,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,0.0,0.0,20181026170630.0,11077.0
32,,3.0,37.5,0.8333333333333334,-37.5,0.8333333333333334,119.5,0.8333333333333334,119.5,0.8333333333333334,5.0,,,1.0,5.0,2,17.0,9.0,11.0,5.0,5,3,1.0,4.0,78.6,50.0,60,29.0,0,1,0.0,0.0,0.0,20181026170634.0,11077.0
33,Q4,4th Quarter,37.5,0.8333333333333334,-37.5,0.8333333333333334,119.5,0.8333333333333334,119.5,0.8333333333333334,5.0,4.0,3.0,0.0,5.0,2,17.0,9.0,11.0,5.0,5,3,0.0,0.0,78.6,50.0,60,29.0,0,1,10.0,0.0,0.0,20181026170635.0,1082.0
