,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,8.5,0.0,-8.5,0.0,,,11,13,,33,26,,14,14,,2,1,,5,5,,77.8,73.7,113,105,0,1,1.0,12.0,1,20181104035752,11077
1,,,4.0,8.5,0.0,-8.5,0.0,,,11,13,,33,26,,14,14,,2,1,,5,5,,77.8,73.7,113,105,0,1,1.0,3.0,1,20181104035801.0,11077
2,,,4.0,8.5,0.0,-8.5,0.0,2.0,,11,13,,33,26,,14,14,,2,1,,5,5,,77.8,73.7,113,105,0,1,0.0,54.0,1,20181104035809.0,11077
3,,,4.0,9.5,0.0,-9.5,0.0,1.0,,11,13,34.0,33,26,,14,14,,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,55.0,0.0,20181104035810.0,21077.0
4,,,4.0,9.5,0.0,-9.5,0.0,1.0,,11,13,34.0,33,26,,14,14,,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,54.0,0.0,20181104035813.0,21077.0
5,44.0,5.0,4.0,9.5,0.0,-9.5,0.0,1.0,,11,13,34.0,33,26,,14,14,0.0,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,56.0,0.0,20181104035815.0,21081.0
6,,,4.0,9.5,0.0,-9.5,0.0,1.0,,11,13,34.0,33,26,,14,14,0.0,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,56.0,0.0,20181104035913.0,21077.0
7,,,4.0,9.5,0.0,-9.5,0.0,1.0,,11,13,34.0,33,26,,14,14,0.0,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,56.0,1.0,20181104035913.0,21077.0
8,,,4.0,9.5,0.0,-9.5,0.0,1.0,,11,13,34.0,33,26,,14,14,0.0,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,48.0,1.0,20181104035920.0,21094.0
9,,,4.0,10.5,0.0,-10.5,0.0,1.0,,11,13,34.0,33,26,,14,14,0.0,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,48.0,1.0,20181104035921.0,11077.0
10,,,4.0,10.5,0.0,-10.5,0.0,1.0,,11,13,34.0,33,26,,14,14,0.0,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,39.0,1.0,20181104035929.0,11077.0
11,,,4.0,10.5,0.0,-10.5,0.0,1.0,,11,13,34.0,33,26,,14,14,0.0,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,35.0,0.0,20181104035933.0,11077.0
12,44.0,5.0,4.0,10.5,0.0,-10.5,0.0,1.0,,11,13,34.0,33,26,,14,14,1.0,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,35.0,0.0,20181104035939.0,11081.0
13,,,4.0,10.5,0.0,-10.5,0.0,1.0,,11,13,34.0,33,26,,14,14,1.0,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,35.0,0.0,20181104040039.0,11077.0
14,,,4.0,10.5,0.0,-10.5,0.0,1.0,,11,13,34.0,33,26,,14,14,1.0,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,35.0,1.0,20181104040039.0,11077.0
15,,,4.0,9.5,0.0,-9.5,0.0,1.0,,11,13,34.0,33,26,,14,14,1.0,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,34.0,1.0,20181104040040.0,21077.0
16,,,4.0,10.5,0.0,-10.5,0.0,1.0,,11,13,34.0,33,26,,14,14,1.0,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,33.0,1.0,20181104040041.0,11077.0
17,,,4.0,9.5,0.0,-9.5,0.0,1.0,,11,13,34.0,33,26,,14,14,1.0,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,32.0,1.0,20181104040042.0,21077.0
18,,,4.0,9.5,0.0,-9.5,0.0,1.0,,11,13,34.0,33,26,,14,14,1.0,2,1,,5,5,,77.8,73.7,115,105,0,1,0.0,28.0,0.0,20181104040046.0,21077.0
19,,,4.0,9.5,0.0,-9.5,0.0,1.0,^,11,13,34.0,33,26,,14,14,1.0,2,1,6.0,5,5,,77.8,73.7,115,105,0,1,0.0,28.0,0.0,20181104040058.0,11086^21077
20,,,4.0,8.5,0.0,-8.5,0.0,1.0,1:2,11,13,34.0,33,26,,14,14,1.0,2,1,6.0,5,5,,77.8,73.7,115,105,0,1,0.0,28.0,0.0,20181104040107.0,21078.0
21,,,4.0,8.5,0.0,-8.5,0.0,1.0,1:2^2:2,11,13,34.0,33,26,15.0,14,14,1.0,2,1,6.0,5,5,75.0,77.8,73.7,115,106,0,1,0.0,28.0,0.0,20181104040123.0,21079^21078
22,,,4.0,9.5,0.0,-9.5,0.0,1.0,2:2^,11,13,34.0,33,26,15.0,14,14,1.0,2,1,6.0,5,5,71.4,77.8,73.7,115,106,0,1,0.0,28.0,1.0,20181104040142.0,21080^11077
