,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD,XY
12,,,,第1节,-2.5,0.91,2.5,0.83,157.5,0.87,157.5,0.87,,1.0,9220083.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,0,,1087.0,,0.71,1.1,
13,,,,第1节,-2.5,0.91,2.5,0.83,157.5,0.87,157.5,0.87,,1.0,9220083.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,0,,11077.0,,0.71,1.1,
14,,,,第1节,-2.5,0.91,2.5,0.83,157.5,0.87,157.5,0.87,,1.0,9220083.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,0,,11077.0,,0.71,1.1,
15,,,,第1节,-2.5,0.91,2.5,0.83,157.5,0.87,157.5,0.87,,1.0,9220083.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,0,,11077.0,,0.71,1.1,
16,,,,第1节,-2.5,0.91,2.5,0.83,157.5,0.87,157.5,0.87,,1.0,9220083.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,0,,11077.0,,0.71,1.1,
17,,,,第1节,-2.5,0.91,2.5,0.83,157.5,0.87,157.5,0.87,,1.0,9220083.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,0,,11077.0,,0.71,1.1,
18,,,,第1节,-2.5,0.95,1.5,0.8,157.5,0.87,157.5,0.87,1.5,1.0,9220083.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,0,,11077.0,,0.71,1.1,
19,,,,第1节,-1.5,0.95,1.5,0.8,157.5,0.87,159.5,0.87,-1.5,1.0,9220083.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,0,,11077.0,,0.71,1.1,
20,,,,第1节,-1.5,0.95,1.5,0.8,159.5,0.87,159.5,0.87,159.5,1.0,9220083.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,0,,11077.0,,0.71,1.1,
21,,,,第1节,-1.5,0.95,1.5,0.8,159.5,0.87,159.5,0.87,159.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,,1.0,1,10.0,GD,0.0,0,,11075.0,,0.83,0.91,"0.67,0.67"
22,,,,第1节,-1.5,0.95,1.5,0.8,159.5,0.87,159.5,0.87,159.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,,1.0,1,9.0,GD,37.0,0,,21077.0,,0.83,0.91,
23,,,,第1节,-1.5,0.95,1.5,0.8,159.5,0.87,159.5,0.87,159.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,9.0,GD,37.0,0,,21077.0,,0.83,0.91,
24,,,,第1节,-1.5,0.95,1.5,0.8,159.5,0.87,159.5,0.87,159.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,37.0,0,,21077.0,,0.83,0.91,
25,,,,第1节,-1.5,0.95,1.5,0.8,159.5,0.87,159.5,0.87,159.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,37.0,0,,21077.0,,0.83,0.91,
26,,,,第1节,-1.5,0.95,1.5,0.8,159.5,0.87,159.5,0.87,159.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,37.0,0,,21077.0,,0.83,0.91,
27,,,,第1节,-1.5,0.95,1.5,0.8,159.5,0.87,159.5,0.87,159.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,37.0,0,,21077.0,,0.83,0.91,
28,,,,第1节,-1.5,0.95,1.5,0.8,159.5,0.87,159.5,0.87,159.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,37.0,0,,21077.0,,0.83,0.91,
29,,,,第1节,-1.5,0.95,1.5,0.8,159.5,0.87,159.5,0.87,159.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,19.0,0,,21077.0,,0.83,0.91,
30,,,,第1节,-1.5,0.95,1.5,0.8,157.5,0.91,157.5,0.83,157.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,19.0,0,,21095.0,,0.83,0.91,"0.09,0.48"
31,,,,第1节,-1.5,0.95,1.5,0.8,157.5,0.91,157.5,0.83,157.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,11.0,0,,11077.0,,0.83,0.91,
32,,,,第1节,-1.5,0.95,1.5,0.8,157.5,0.91,157.5,0.83,157.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,11.0,0,,11077.0,,0.83,0.91,
33,,,,第1节,-1.5,0.95,1.5,0.8,157.5,0.91,157.5,0.83,157.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,10.0,0,,11077.0,,0.83,0.91,
34,,,,第1节,-1.5,0.95,1.5,0.8,157.5,0.87,157.5,0.87,157.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,10.0,0,,11077.0,,0.83,0.91,
35,,,,第1节,-1.5,0.95,1.5,0.8,157.5,0.87,157.5,0.87,157.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,11.0,0,,11077.0,,0.83,0.91,
36,,,,第1节,-1.5,0.95,1.5,0.8,157.5,0.87,157.5,0.87,157.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,11.0,0,,11077.0,,0.83,0.91,
37,,,,第1节,-1.5,0.95,1.5,0.8,157.5,0.87,157.5,0.87,157.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,1.0,0,,11077.0,,0.83,0.91,
38,,,,第1节,-1.5,0.95,1.5,0.8,157.5,0.87,157.5,0.87,157.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,1.0,0,,21086.0,,0.83,0.91,
39,,,,第1节,-1.5,0.95,1.5,0.8,156.5,0.87,156.5,0.87,156.5,1.0,9220083.0,,,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1,9.0,GD,1.0,0,,11077.0,,0.83,0.91,
