,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,5.5,0.0,-5.5,0.0,,,9,9,25,23,,12,12,1,0,,9,5,,75.0,63.2,89,85,0,1,0,23.0,0,20181026174733,21086^11078
1,4.0,4.5,0.0,-4.5,0.0,,1:2^2:2,9,9,25,23,,12,12,1,0,,9,5,70.6,75.0,63.2,89,85,0,1,0,23.0,0,20181026174740.0,11080^11078
2,4.0,4.5,0.0,-4.5,0.0,,2:2,9,9,25,23,13.0,12,12,1,0,,9,5,72.2,75.0,63.2,90,85,0,1,0,23.0,0,20181026174749.0,11079.0
3,4.0,4.5,0.0,-4.5,0.0,,,9,9,25,23,13.0,12,12,1,0,,9,5,72.2,75.0,63.2,90,85,0,1,0,23.0,1.0,20181026174751.0,21077.0
4,4.0,4.5,0.0,-4.5,0.0,1.0,,9,9,25,23,13.0,12,12,1,0,,9,5,72.2,75.0,63.2,90,85,0,1,0,14.0,1.0,20181026174759.0,21077.0
5,4.0,5.5,0.0,-5.5,0.0,1.0,,9,9,25,23,13.0,12,12,1,0,,9,5,72.2,75.0,63.2,90,85,0,1,0,12.0,1.0,20181026174800.0,11077.0
6,4.0,5.5,0.0,-5.5,0.0,1.0,,9,9,25,23,13.0,12,12,1,0,,9,5,72.2,75.0,63.2,90,85,0,1,0,7.0,0.0,20181026174806.0,11077.0
7,4.0,5.5,0.0,-5.5,0.0,1.0,,9,9,25,23,13.0,12,12,1,0,,9,5,72.2,75.0,63.2,90,85,0,1,0,7.0,0.0,20181026174809.0,11077.0
8,4.0,5.5,0.0,-5.5,0.0,1.0,^1:2,9,9,25,23,13.0,12,12,1,0,6.0,9,5,72.2,75.0,63.2,90,85,0,1,0,7.0,0.0,20181026174809.0,21086^11078
9,4.0,5.5,0.0,-5.5,0.0,1.0,^1:2,9,9,25,23,13.0,12,12,1,0,6.0,9,5,72.2,75.0,63.2,90,85,0,1,0,9.0,0.0,20181026174818.0,21086^11078
10,4.0,6.5,0.0,-6.5,0.0,1.0,1:2^2:2,9,9,25,23,14.0,12,12,1,0,6.0,9,5,73.7,75.0,63.2,91,85,0,1,0,9.0,0.0,20181026174832.0,11079^11078
11,4.0,6.5,0.0,-6.5,0.0,1.0,2:2,9,9,25,23,15.0,12,12,1,0,6.0,9,5,75.0,75.0,63.2,92,85,0,1,0,9.0,0.0,20181026174845.0,11079.0
12,4.0,6.5,0.0,-6.5,0.0,1.0,2:2,9,9,25,23,15.0,12,12,1,0,6.0,9,5,75.0,75.0,63.2,92,85,0,1,0,9.0,1.0,20181026174847.0,11079.0
13,4.0,6.5,0.0,-6.5,0.0,1.0,,9,9,25,23,15.0,12,12,1,0,6.0,9,5,75.0,75.0,63.2,92,85,0,1,0,2.0,0.0,20181026174854.0,21077.0
14,4.0,6.5,0.0,-6.5,0.0,1.0,,9,9,25,23,15.0,12,12,1,0,6.0,9,5,75.0,75.0,63.2,92,85,0,1,0,2.0,1.0,20181026174908.0,21077.0
15,4.0,6.5,0.0,-6.5,0.0,1.0,,9,9,25,23,15.0,12,12,1,0,6.0,9,5,75.0,75.0,63.2,92,85,0,1,0,0.0,0.0,20181026174911.0,21077.0
16,4.0,6.5,0.0,-6.5,0.0,1.0,,9,9,25,23,15.0,12,12,1,0,6.0,9,5,75.0,75.0,63.2,92,85,0,1,0,0.0,0.0,20181026174911.0,1084.0
17,4.0,6.5,0.0,-6.5,0.0,1.0,,9,9,25,23,15.0,12,12,1,0,6.0,9,5,75.0,75.0,63.2,92,85,0,1,0,0.0,0.0,20181026174916.0,1084.0
18,4.0,6.5,0.0,-6.5,0.0,1.0,,9,9,25,23,15.0,12,12,1,0,6.0,9,5,75.0,75.0,63.2,92,85,0,1,0,0.0,0.0,20181026174916.0,1084.0
