,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
0,,,,,-15.5,0.83,15.5,0.83,132.5,0.83,132.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717111507,,,0.0,0.0
1,,,,,-15.5,0.83,15.5,0.83,132.5,0.83,132.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717113731.0,,,0.0,0.0
2,,,,,-15.5,0.83,15.5,0.83,132.5,0.83,132.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717113731.0,,,0.0,0.0
3,,,,,-15.5,0.83,15.5,0.83,132.5,0.83,132.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717114601.0,,,0.0,0.0
4,,,,,-15.5,0.83,15.5,0.83,132.5,0.83,132.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,1~GD,0.0,0,20180717114601.0,,,0.0,0.0
5,,,,,-15.5,0.83,15.5,0.83,132.5,0.83,132.5,0.83,,,,,,,,,,,,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180717114629.0,,,0.0,0.0
6,,,,,-15.5,0.83,15.5,0.83,132.5,0.83,132.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180717114629.0,1087.0,,0.0,0.0
7,,,,,-15.5,0.83,15.5,0.83,132.5,0.83,132.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,59.0,1.0,20180717114630.0,1087.0,,0.0,0.0
8,,,,,-15.5,0.83,15.5,0.83,132.5,0.83,132.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,59.0,1.0,20180717114630.0,11077.0,,0.0,0.0
9,,,,,-15.5,0.83,15.5,0.83,131.5,0.87,132.5,0.8,131.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,51.0,1.0,20180717114638.0,11077.0,,0.0,0.0
10,,,,,-15.5,0.83,15.5,0.83,131.5,0.83,131.5,0.83,131.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,51.0,1.0,20180717114638.0,11077.0,,0.0,0.0
11,,,,,-15.5,0.83,15.5,0.83,131.5,0.83,131.5,0.83,131.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,43.0,1.0,20180717114647.0,11077.0,,0.0,0.0
12,,,,,-15.5,0.83,15.5,0.83,131.5,0.83,131.5,0.83,131.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,43.0,1.0,20180717114647.0,11077.0,,0.0,0.0
