,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,XY
21,,,,第1节,-72.5,0.83,72.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,57.0,0,,21077.0,
22,,,,第1节,-72.5,0.83,72.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,57.0,0,,21094.0,"0.22,0.95"
23,,,,第1节,-72.5,0.83,72.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,57.0,0,,11077.0,
24,,,,第1节,-72.5,0.83,72.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,36.0,0,,11077.0,
25,,,,第1节,-72.5,0.83,72.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,36.0,0,,21086.0,
26,,,,第1节,-72.5,0.83,71.5,0.83,153.5,0.83,153.5,0.83,71.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,36.0,0,,11077.0,
27,,,,第1节,-71.5,0.83,71.5,0.83,153.5,0.83,152.5,0.83,-71.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,36.0,0,,11077.0,
28,,,,第1节,-71.5,0.83,71.5,0.83,152.5,0.83,152.5,0.83,152.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,36.0,0,,11077.0,
29,,,,第1节,-71.5,0.83,71.5,0.83,152.5,0.83,152.5,0.83,152.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,35.0,0,,11077.0,
30,,,,第1节,-71.5,0.83,71.5,0.83,152.5,0.83,152.5,0.83,152.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,1,8.0,GD,35.0,0,,21077.0,
31,,,,第1节,-71.5,0.83,71.5,0.83,152.5,0.83,152.5,0.83,152.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,1,8.0,GD,35.0,0,,21074.0,"0.18,0.50"
32,,,,第1节,-71.5,0.83,71.5,0.83,152.5,0.83,152.5,0.83,152.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,35.0,0,,11077.0,
33,,,,第1节,-71.5,0.83,71.5,0.83,152.5,0.83,152.5,0.83,152.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,29.0,0,,11077.0,
34,,,,第1节,-71.5,0.83,72.5,0.83,152.5,0.83,152.5,0.83,72.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,29.0,0,,11077.0,
35,,,,第1节,-72.5,0.83,72.5,0.83,152.5,0.83,154.5,0.83,-72.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,29.0,0,,11077.0,
36,,,,第1节,-72.5,0.83,72.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,29.0,0,,11077.0,
37,,,,第1节,-72.5,0.83,72.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,19.0,0,,11077.0,
38,,,,第1节,-72.5,0.83,72.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,19.0,0,,21094.0,"0.33,0.69"
39,,,,第1节,-72.5,0.83,72.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,54.0,0,,11077.0,
40,,,,第1节,-72.5,0.83,69.5,0.83,154.5,0.83,154.5,0.83,69.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,54.0,0,,11077.0,
41,,,,第1节,-69.5,0.83,69.5,0.83,154.5,0.83,153.5,0.83,-69.5,1.0,,,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1,8.0,GD,54.0,0,,11077.0,
