,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
0,,,,,-1.5,0.87,1.5,0.8,166.5,0.83,166.5,0.83,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717114430,,,0.8,0.87
1,,,,,-1.5,0.87,1.5,0.8,166.5,0.83,166.5,0.83,,,,,,,,,,,,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180717120036.0,,,0.8,0.87
2,,,,,-1.5,0.87,1.5,0.8,166.5,0.83,166.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180717120036.0,1087.0,,0.8,0.87
3,,,,,-1.5,0.87,1.5,0.8,166.5,0.83,166.5,0.83,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,1.0,20180717120038.0,1087.0,,0.8,0.87
4,,,,,-1.5,0.87,1.5,0.8,165.5,0.83,166.5,0.83,165.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,57.0,1.0,20180717120038.0,21077.0,,0.8,0.87
5,,,,,-1.5,0.87,1.5,0.8,165.5,0.83,165.5,0.83,165.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,49.0,1.0,20180717120046.0,21077.0,,0.8,0.87
6,,,,,-1.5,0.87,1.5,0.8,164.5,0.83,165.5,0.83,164.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,49.0,1.0,20180717120046.0,21077.0,,0.8,0.87
7,,,,,-1.5,0.87,1.5,0.8,164.5,0.83,164.5,0.83,164.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,41.0,1.0,20180717120055.0,21077.0,,0.8,0.87
8,,,,,-1.5,0.87,1.5,0.8,164.5,0.83,164.5,0.83,164.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,41.0,1.0,20180717120055.0,21077.0,,0.8,0.87
9,,,,,-1.5,0.87,1.5,0.8,164.5,0.83,164.5,0.83,164.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,39.0,0.0,20180717120056.0,21077.0,,0.8,0.87
10,,,,,-1.5,0.87,1.5,0.8,164.5,0.83,164.5,0.83,164.5,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,39.0,0.0,20180717120056.0,21077.0,,0.8,0.87
