,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,第3节,-13.5,0.83,13.5,0.91,156.5,0.91,156.5,0.83,,,,,1.0,3.0,13.0,12.0,3.0,11.0,5.0,4.0,0.0,0.0,100.0,91.7,32.0,44.0,0.0,1,10.0,0.0,0,,1083,0.0,0.0,
1,,,,第3节,-13.5,0.83,13.5,0.91,156.5,0.91,156.5,0.83,,,,,1.0,3.0,13.0,12.0,3.0,11.0,5.0,4.0,0.0,0.0,100.0,91.7,32.0,44.0,0.0,1,10.0,0.0,0,,1083,0.0,0.0,
2,,,,第3节,-13.5,0.83,13.5,0.91,156.5,0.91,156.5,0.83,,,,,1.0,3.0,13.0,12.0,3.0,11.0,5.0,4.0,0.0,0.0,100.0,91.7,32.0,44.0,0.0,1,10.0,0.0,0,,1083,0.0,0.0,
3,,,,第3节,-13.5,0.83,13.5,0.91,156.5,0.91,156.5,0.83,,,,,1.0,3.0,13.0,12.0,3.0,11.0,5.0,4.0,0.0,0.0,100.0,91.7,32.0,44.0,0.0,1,10.0,0.0,0,,1083,0.0,0.0,
4,,,,第3节,-13.5,0.83,13.5,0.91,156.5,0.91,156.5,0.83,,,,,1.0,3.0,13.0,12.0,3.0,11.0,5.0,4.0,0.0,0.0,100.0,91.7,32.0,44.0,0.0,1,10.0,0.0,0,,1083,0.0,0.0,
5,,,,第3节,-13.5,0.83,13.5,0.91,156.5,0.91,156.5,0.83,,,,,1.0,3.0,13.0,12.0,3.0,11.0,5.0,4.0,0.0,0.0,100.0,91.7,32.0,44.0,0.0,1,10.0,0.0,0,,1083,0.0,0.0,
6,,,,第3节,-13.5,0.83,13.5,0.91,156.5,0.91,156.5,0.83,,3.0,,,1.0,3.0,13.0,12.0,3.0,11.0,5.0,4.0,0.0,0.0,100.0,91.7,32.0,44.0,0.0,1,10.0,0.0,0,,1089.0,0.0,0.0,
7,,,,第3节,-13.5,0.83,13.5,0.91,155.5,0.87,155.5,0.87,155.5,3.0,,,1.0,3.0,13.0,12.0,3.0,11.0,5.0,4.0,0.0,0.0,100.0,91.7,32.0,44.0,0.0,1,10.0,0.0,0,,11077.0,0.0,0.0,
8,,,,第3节,-13.5,0.83,13.5,0.91,155.5,0.87,155.5,0.87,155.5,3.0,,,1.0,3.0,13.0,12.0,3.0,11.0,5.0,4.0,0.0,0.0,100.0,91.7,32.0,44.0,0.0,1,10.0,0.0,0,,11094.0,0.0,0.0,"0.78,0.84"
9,,,,第3节,-13.5,0.83,13.5,0.91,155.5,0.87,155.5,0.87,155.5,3.0,,,1.0,3.0,13.0,12.0,3.0,11.0,5.0,4.0,0.0,0.0,100.0,91.7,32.0,44.0,0.0,1,9.0,44.0,0,,21077.0,0.0,0.0,
10,,,,第3节,-13.5,0.83,13.5,0.91,155.5,0.87,155.5,0.87,155.5,3.0,,,1.0,3.0,13.0,13.0,3.0,11.0,5.0,4.0,0.0,0.0,100.0,91.7,32.0,46.0,0.0,1,9.0,44.0,0,,21074.0,0.0,0.0,"0.12,0.52"
