,AM,AS,ED,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
16,,,,^,5,8,23.0,22,25,15.0,14,16,0.0,1,0,7.0,4,6,53.6,53.8,72.7,76.0,76,90,0,1,0,15.0,0.0,20180919091250.0,21086^11077
17,,,,1:1,5,8,23.0,22,25,15.0,14,16,0.0,1,0,7.0,4,6,53.6,53.8,72.7,76.0,76,90,0,1,0,15.0,0.0,20180919091251.0,11078.0
18,,,,1:1^,5,8,23.0,22,25,15.0,14,16,0.0,1,0,7.0,4,6,51.7,53.8,72.7,76.0,76,90,0,1,0,15.0,1.0,20180919091302.0,11080^21077
19,,,,,5,8,23.0,22,25,15.0,14,16,0.0,1,0,7.0,4,6,51.7,53.8,72.7,76.0,76,90,0,1,0,6.0,1.0,20180919091311.0,21077.0
20,,,,,5,8,23.0,22,25,15.0,14,16,0.0,1,0,7.0,4,6,51.7,53.8,72.7,76.0,76,90,0,1,0,0.0,0.0,20180919091318.0,21077.0
21,,,,,5,8,23.0,22,25,15.0,14,16,0.0,1,0,7.0,4,6,51.7,53.8,72.7,76.0,76,90,0,1,0,0.0,0.0,20180919091320.0,21077.0
22,,,,,5,8,23.0,22,25,15.0,14,16,0.0,1,0,7.0,4,6,51.7,53.8,72.7,76.0,76,90,0,1,0,0.0,0.0,20180919091320.0,1084.0
23,,,,,5,8,23.0,22,25,15.0,14,16,0.0,1,0,7.0,4,6,51.7,53.8,72.7,76.0,76,90,0,1,0,0.0,0.0,20180919091321.0,1084.0
24,,,,,5,8,23.0,22,25,15.0,14,16,0.0,1,0,7.0,4,6,51.7,53.8,72.7,76.0,76,90,0,1,0,0.0,0.0,20180919091321.0,1084.0
25,,,,,5,8,23.0,22,25,15.0,14,16,0.0,1,0,7.0,4,6,51.7,53.8,72.7,76.0,76,90,0,1,0,0.0,0.0,20180919091321.0,1084.0
26,,,,,5,8,23.0,22,25,15.0,14,16,0.0,1,0,7.0,4,6,51.7,53.8,72.7,76.0,76,90,0,1,0,0.0,0.0,20180919091321.0,1084.0
27,,,,,5,8,23.0,22,25,15.0,14,16,0.0,1,0,7.0,4,6,51.7,53.8,72.7,76.0,76,90,0,1,0,0.0,0.0,20180919091321.0,1084.0
