,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,,,,3,2,,21,22,,6,11,,2,4,,7,4,,50.0,78.6,57,61,0,1,2.0,19.0,0,20181106010922,21079^11077
1,,,4.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,,,,3,2,,21,22,,6,11,,2,4,,7,4,,50.0,78.6,57,61,0,1,2.0,19.0,1.0,20181106010942.0,21079^11077
2,,,4.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,,,,3,2,,21,22,,6,11,,2,4,,7,4,,50.0,78.6,57,61,0,1,2.0,10.0,1.0,20181106010951.0,21079^11077
3,,,4.0,-5.5,0.8333333333333334,5.5,0.8333333333333334,,^,,3,2,23.0,21,22,,6,11,,2,4,,7,4,,50.0,78.6,57,63,0,1,2.0,10.0,1.0,20181106010952.0,21074^11077
4,,,4.0,-5.5,0.8333333333333334,5.5,0.8333333333333334,,,,3,2,23.0,21,22,,6,11,,2,4,,7,4,,50.0,78.6,57,63,0,1,2.0,1.0,1.0,20181106011001.0,11077.0
5,,,4.0,-5.5,0.0,5.5,0.0,3.0,,,3,2,23.0,21,22,,6,11,,2,4,,7,4,,50.0,78.6,57,63,0,1,1.0,55.0,0.0,20181106011007.0,11077.0
6,,,4.0,-5.5,0.0,5.5,0.0,3.0,^,,3,2,23.0,21,22,,6,11,,2,4,5.0,7,4,,50.0,78.6,57,63,0,1,1.0,55.0,0.0,20181106011019.0,21086^11077
7,,,4.0,-5.5,0.0,5.5,0.0,3.0,1:2,,3,2,23.0,21,22,,6,11,,2,4,5.0,7,4,,50.0,78.6,57,63,0,1,1.0,55.0,0.0,20181106011020.0,11078.0
8,,,4.0,-5.5,0.0,5.5,0.0,3.0,1:2^2:2,,3,2,23.0,21,22,7.0,6,11,,2,4,5.0,7,4,53.8,50.0,78.6,58,63,0,1,1.0,55.0,0.0,20181106011039.0,11079^11078
9,,,4.0,-5.5,0.0,5.5,0.0,3.0,2:2^,,3,2,23.0,21,22,7.0,6,11,,2,4,5.0,7,4,50.0,50.0,78.6,58,63,0,1,1.0,55.0,1.0,20181106011052.0,11080^21077
10,,,4.0,-5.5,0.0,5.5,0.0,3.0,,,3,2,23.0,21,22,7.0,6,11,,2,4,5.0,7,4,50.0,50.0,78.6,58,63,0,1,1.0,54.0,1.0,20181106011053.0,21077.0
11,,,4.0,-5.5,0.0,5.5,0.0,3.0,,,3,2,23.0,21,22,7.0,6,11,,2,4,5.0,7,4,50.0,50.0,78.6,58,63,0,1,1.0,54.0,1.0,20181106011054.0,21077.0
12,,,4.0,-5.5,0.0,5.5,0.0,3.0,,,3,2,23.0,21,22,7.0,6,11,,2,4,5.0,7,4,50.0,50.0,78.6,58,63,0,1,1.0,45.0,1.0,20181106011102.0,21077.0
13,,,4.0,-5.5,0.0,5.5,0.0,3.0,,,3,2,23.0,21,22,7.0,6,11,,2,4,5.0,7,4,50.0,50.0,78.6,58,63,0,1,1.0,40.0,0.0,20181106011107.0,21077.0
14,,,4.0,-5.5,0.0,5.5,0.0,3.0,^,,3,2,23.0,21,22,7.0,6,11,,2,4,8.0,7,4,50.0,50.0,78.6,58,63,0,1,1.0,40.0,0.0,20181106011117.0,11086^21077
15,,,4.0,-5.5,0.0,5.5,0.0,3.0,1:2,,3,2,23.0,21,22,7.0,6,11,,2,4,8.0,7,4,50.0,50.0,78.6,58,63,0,1,1.0,40.0,0.0,20181106011118.0,21078.0
16,,,4.0,-6.5,0.0,6.5,0.0,3.0,1:2^2:2,,3,2,23.0,21,22,12.0,6,11,,2,4,8.0,7,4,80.0,50.0,78.6,58,64,0,1,1.0,40.0,0.0,20181106011136.0,21079^21078
17,,,4.0,-5.5,0.0,5.5,0.0,3.0,2:2^,,3,2,23.0,21,22,12.0,6,11,,2,4,8.0,7,4,75.0,50.0,78.6,58,64,0,1,1.0,40.0,1.0,20181106011153.0,21080^11077
18,,,4.0,-5.5,0.0,5.5,0.0,3.0,2:2^,,3,2,23.0,21,22,12.0,6,11,,2,4,8.0,7,4,75.0,50.0,78.6,58,64,0,1,1.0,40.0,1.0,20181106011154.0,21080^11077
19,,,4.0,-6.5,0.0,6.5,0.0,3.0,,,3,2,23.0,21,22,12.0,6,11,,2,4,8.0,7,4,75.0,50.0,78.6,58,64,0,1,1.0,39.0,1.0,20181106011154.0,21077.0
20,,,4.0,-8.5,0.0,8.5,0.0,3.0,^,3.0,3,2,23.0,21,22,12.0,6,11,,2,4,8.0,7,4,75.0,50.0,78.6,58,67,0,1,1.0,36.0,1.0,20181106011157.0,21075^11077
21,,,4.0,-8.5,0.0,8.5,0.0,3.0,,3.0,3,2,23.0,21,22,12.0,6,11,,2,4,8.0,7,4,75.0,50.0,78.6,58,67,0,1,1.0,36.0,1.0,20181106011158.0,11077.0
22,,,4.0,-8.5,0.0,8.5,0.0,3.0,,3.0,3,2,23.0,21,22,12.0,6,11,,2,4,8.0,7,4,75.0,50.0,78.6,58,67,0,1,1.0,35.0,0.0,20181106011158.0,11077.0
23,,,4.0,-8.5,0.0,8.5,0.0,3.0,,3.0,3,2,23.0,21,22,12.0,6,11,,2,4,8.0,7,4,75.0,50.0,78.6,58,67,0,1,1.0,33.0,0.0,20181106011205.0,11077.0
24,44.0,5.0,4.0,-8.5,0.0,8.5,0.0,3.0,,3.0,3,2,23.0,21,22,12.0,6,11,1.0,2,4,8.0,7,4,75.0,50.0,78.6,58,67,0,1,1.0,37.0,0.0,20181106011206.0,11081.0
25,,,4.0,-8.5,0.0,8.5,0.0,3.0,,3.0,3,2,23.0,21,22,12.0,6,11,1.0,2,4,8.0,7,4,75.0,50.0,78.6,58,67,0,1,1.0,37.0,0.0,20181106011340.0,11077.0
26,,,4.0,-8.5,0.0,8.5,0.0,3.0,,3.0,3,2,23.0,21,22,12.0,6,11,1.0,2,4,8.0,7,4,75.0,50.0,78.6,58,67,0,1,1.0,37.0,1.0,20181106011340.0,11077.0
27,,,4.0,-8.5,0.0,8.5,0.0,3.0,,3.0,3,2,23.0,21,22,12.0,6,11,1.0,2,4,8.0,7,4,75.0,50.0,78.6,58,67,0,1,1.0,30.0,1.0,20181106011347.0,11094.0
28,,,4.0,-9.5,0.0,9.5,0.0,1.0,,3.0,3,2,23.0,21,22,12.0,6,11,1.0,2,4,8.0,7,4,75.0,50.0,78.6,58,67,0,1,1.0,30.0,1.0,20181106011348.0,21077.0
29,,,4.0,-9.5,0.0,9.5,0.0,1.0,,3.0,3,2,23.0,21,22,12.0,6,11,1.0,2,4,8.0,7,4,75.0,50.0,78.6,58,67,0,1,1.0,21.0,1.0,20181106011357.0,21077.0
30,,,4.0,-9.5,0.0,9.5,0.0,1.0,,3.0,3,2,23.0,21,22,12.0,6,11,1.0,2,4,8.0,7,4,75.0,50.0,78.6,58,67,0,1,1.0,12.0,1.0,20181106011405.0,21077.0
31,,,4.0,-9.5,0.0,9.5,0.0,1.0,,3.0,3,2,23.0,21,22,12.0,6,11,1.0,2,4,8.0,7,4,75.0,50.0,78.6,58,67,0,1,1.0,11.0,0.0,20181106011406.0,21077.0
32,,,4.0,-9.5,0.0,9.5,0.0,1.0,^,3.0,3,2,23.0,21,22,12.0,6,11,1.0,2,4,9.0,7,4,75.0,50.0,78.6,58,67,0,1,1.0,11.0,0.0,20181106011413.0,11086^21077
33,,,4.0,-9.5,0.0,9.5,0.0,1.0,1:2,3.0,3,2,23.0,21,22,12.0,6,11,1.0,2,4,9.0,7,4,75.0,50.0,78.6,58,67,0,1,1.0,11.0,0.0,20181106011414.0,21078.0
34,,,4.0,-10.5,0.0,10.5,0.0,1.0,1:2^2:2,3.0,3,2,23.0,21,22,13.0,6,11,1.0,2,4,9.0,7,4,76.5,50.0,78.6,58,68,0,1,1.0,11.0,0.0,20181106011430.0,21079^21078
35,,,4.0,-9.5,0.0,9.5,0.0,1.0,2:2^,3.0,3,2,23.0,21,22,13.0,6,11,1.0,2,4,9.0,7,4,72.2,50.0,78.6,58,68,0,1,1.0,11.0,1.0,20181106011440.0,21080^11077
36,,,4.0,-9.5,0.0,9.5,0.0,1.0,,3.0,3,2,23.0,21,22,13.0,6,11,1.0,2,4,9.0,7,4,72.2,50.0,78.6,58,68,0,1,1.0,10.0,1.0,20181106011442.0,11077.0
37,,,4.0,-9.5,0.0,9.5,0.0,1.0,,3.0,3,2,23.0,21,22,13.0,6,11,1.0,2,4,9.0,7,4,72.2,50.0,78.6,58,68,0,1,1.0,10.0,1.0,20181106011443.0,11077.0
38,,,4.0,-9.5,0.0,9.5,0.0,1.0,,3.0,3,2,23.0,21,22,13.0,6,11,1.0,2,4,9.0,7,4,72.2,50.0,78.6,58,68,0,1,1.0,0.0,1.0,20181106011450.0,11095.0
39,,,4.0,-10.5,0.0,10.5,0.0,1.0,,3.0,3,2,23.0,21,22,13.0,6,11,1.0,2,4,9.0,7,4,72.2,50.0,78.6,58,68,0,1,1.0,0.0,1.0,20181106011452.0,21077.0
40,,,4.0,-10.5,0.0,10.5,0.0,1.0,,3.0,3,2,23.0,21,22,13.0,6,11,1.0,2,4,9.0,7,4,72.2,50.0,78.6,58,68,0,1,1.0,0.0,1.0,20181106011453.0,21077.0
41,,,4.0,-11.5,0.0,11.5,0.0,1.0,^,3.0,3,2,24.0,21,22,13.0,6,11,1.0,2,4,9.0,7,4,72.2,50.0,78.6,58,70,0,1,0.0,54.0,1.0,20181106011458.0,21074^11077
42,,,4.0,-11.5,0.0,11.5,0.0,1.0,,3.0,3,2,24.0,21,22,13.0,6,11,1.0,2,4,9.0,7,4,72.2,50.0,78.6,58,70,0,1,0.0,45.0,1.0,20181106011507.0,11077.0
43,,,4.0,-10.5,0.0,10.5,0.0,1.0,^,3.0,3,2,22.0,21,22,13.0,6,11,1.0,2,4,9.0,7,4,72.2,50.0,78.6,60,70,0,1,0.0,43.0,1.0,20181106011507.0,11074^21077
44,,,4.0,-10.5,0.0,10.5,0.0,1.0,,3.0,3,2,22.0,21,22,13.0,6,11,1.0,2,4,9.0,7,4,72.2,50.0,78.6,60,70,0,1,0.0,43.0,1.0,20181106011508.0,21077.0
45,,,4.0,-10.5,0.0,10.5,0.0,1.0,,3.0,3,2,22.0,21,22,13.0,6,11,1.0,2,4,9.0,7,4,72.2,50.0,78.6,60,70,0,1,0.0,34.0,1.0,20181106011517.0,21077.0
46,,,4.0,-10.5,0.0,10.5,0.0,1.0,,3.0,3,2,22.0,21,22,13.0,6,11,1.0,2,4,9.0,7,4,72.2,50.0,78.6,60,70,0,1,0.0,31.0,1.0,20181106011520.0,21095.0
47,,,4.0,-10.5,0.0,10.5,0.0,1.0,,3.0,3,2,22.0,21,22,13.0,6,11,1.0,2,4,9.0,7,4,72.2,50.0,78.6,60,70,0,1,0.0,30.0,0.0,20181106011521.0,21077.0
48,,,4.0,-10.5,0.0,10.5,0.0,1.0,^,3.0,3,2,22.0,21,22,13.0,6,11,1.0,2,4,10.0,7,4,72.2,50.0,78.6,60,70,0,1,0.0,30.0,0.0,20181106011531.0,11086^21077
