,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,1.5,0.9090909090909091,-1.5,0.7692307692307693,,,7,4,,27,24,,10,21,,0,-1,,5,5,,45.5,77.8,85,81,0,1,2.0,12.0,0,20181019140418,21077
1,,,4.0,1.5,0.9090909090909091,-1.5,0.7692307692307693,,,7,4,,27,24,,10,21,,0,-1,,5,5,,45.5,77.8,85,81,0,1,2.0,12.0,0,20181019140428.0,11086.0
2,,,4.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,,1:2,7,4,,27,24,,10,21,,0,-1,,5,5,,45.5,77.8,85,81,0,1,2.0,12.0,0,20181019140435.0,21078.0
3,,,4.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,,^1:2,7,4,,27,24,,10,21,,0,-1,6.0,5,5,,45.5,77.8,85,81,0,1,2.0,12.0,0,20181019140436.0,11086^21078
4,,,4.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,,^1:2,7,4,,27,24,,10,21,,0,-1,6.0,5,5,,45.5,77.8,85,81,0,1,2.0,14.0,0,20181019140450.0,11086^21078
5,,,4.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,,1:2^2:2,7,4,,27,24,22.0,10,21,,0,-1,6.0,5,5,78.6,45.5,77.8,85,82,0,1,2.0,14.0,0,20181019140505.0,21079^21078
6,,,4.0,1.5,0.9090909090909091,-1.5,0.7692307692307693,,2:2^,7,4,,27,24,22.0,10,21,,0,-1,6.0,5,5,75.9,45.5,77.8,85,82,0,1,2.0,14.0,1.0,20181019140524.0,21080^11077
7,,,4.0,1.5,0.9090909090909091,-1.5,0.7692307692307693,,2:2^,7,4,,27,24,22.0,10,21,,0,-1,6.0,5,5,75.9,45.5,77.8,85,82,0,1,2.0,14.0,1.0,20181019140528.0,21080^11077
8,,,4.0,1.5,1.0,-1.5,0.7142857142857143,,,7,4,,27,24,22.0,10,21,,0,-1,6.0,5,5,75.9,45.5,77.8,85,82,0,1,2.0,5.0,1.0,20181019140537.0,11077.0
9,,,4.0,1.5,1.0,-1.5,0.7142857142857143,,,7,4,,27,24,22.0,10,21,,0,-1,6.0,5,5,75.9,45.5,77.8,85,82,0,1,2.0,2.0,0.0,20181019140539.0,11077.0
