,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,18.5,0.8,-18.5,0.8695652173913043,,,7,4,,26,20,,9,12,,2,1,,1,2,,81.8,85.7,82,64,0,1,2.0,53.0,1,20181020135630,21077
1,,,4.0,18.5,0.8,-18.5,0.8695652173913043,,,7,4,,26,20,,9,12,,2,1,,1,2,,81.8,85.7,82,64,0,1,2.0,45.0,1,20181020135638.0,21077
2,,,4.0,18.5,0.8,-18.5,0.8695652173913043,,,7,4,,26,20,,9,12,,2,1,,1,2,,81.8,85.7,82,64,0,1,2.0,37.0,1,20181020135646.0,21077
3,,,4.0,18.5,0.7692307692307693,-18.5,0.9090909090909091,,,7,4,,26,20,,9,12,,2,1,,1,2,,81.8,85.7,82,64,0,1,2.0,28.0,1,20181020135655.0,21077
4,,,4.0,19.5,0.7692307692307693,-19.5,0.9090909090909091,,,7,4,,26,20,,9,12,,2,1,,1,2,,81.8,85.7,82,64,0,1,2.0,27.0,1,20181020135656.0,11077.0
5,,,4.0,19.5,0.7692307692307693,-19.5,0.9090909090909091,,,7,4,,26,20,,9,12,,2,1,,1,2,,81.8,85.7,82,64,0,1,2.0,18.0,1,20181020135705.0,11077.0
6,,,4.0,19.5,0.7692307692307693,-19.5,0.9090909090909091,,,7,4,,26,20,,9,12,,2,1,,1,2,,81.8,85.7,82,64,0,1,2.0,15.0,0.0,20181020135708.0,11077.0
7,,,4.0,18.5,0.7692307692307693,-18.5,0.9090909090909091,,,7,4,,26,20,,9,12,,2,1,,1,2,,81.8,85.7,82,64,0,1,2.0,15.0,0.0,20181020135710.0,21077.0
8,,,4.0,18.5,0.7692307692307693,-18.5,0.9090909090909091,,,7,4,,26,20,,9,12,,2,1,,1,2,,81.8,85.7,82,64,0,1,2.0,15.0,0.0,20181020135711.0,21077.0
9,,,4.0,18.5,0.7692307692307693,-18.5,0.9090909090909091,,,7,4,,26,20,,9,12,,2,1,,1,2,,81.8,85.7,82,64,0,1,2.0,15.0,1.0,20181020135711.0,21077.0
10,,,4.0,18.5,0.7692307692307693,-18.5,0.9090909090909091,,,7,4,,26,20,,9,12,,2,1,,1,2,,81.8,85.7,82,64,0,1,2.0,12.0,1.0,20181020135713.0,21077.0
11,,,4.0,18.5,0.7142857142857143,-18.5,1.0,,,7,4,,26,20,,9,12,,2,1,,1,2,,81.8,85.7,82,64,0,1,2.0,3.0,1.0,20181020135721.0,21077.0
12,,,4.0,19.5,0.0,-19.5,0.0,1.0,,7,4,,26,20,,9,12,,2,1,,1,2,,81.8,85.7,82,64,0,1,1.0,58.0,1.0,20181020135727.0,11077.0
13,,,4.0,19.5,0.0,-19.5,0.0,1.0,,7,4,,26,20,,9,12,,2,1,,1,2,,81.8,85.7,82,64,0,1,1.0,52.0,1.0,20181020135731.0,11077.0
