,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
25,44.0,5.0,第4节,19.5,0.87,-18.5,0.8,-18.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,88,107,0.0,1,4.0,13.0,0,,21077.0
26,44.0,5.0,第4节,18.5,0.87,-18.5,0.8,18.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,88,107,0.0,1,4.0,8.0,0,,21077.0
27,44.0,5.0,第4节,18.5,0.87,-18.5,0.8,18.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,88,107,1.0,1,4.0,8.0,0,,21077.0
28,44.0,5.0,第4节,18.5,0.87,-18.5,0.8,18.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,88,107,1.0,1,4.0,8.0,0,,11086.0
29,44.0,5.0,第4节,18.5,0.83,-18.5,0.83,18.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,88,107,1.0,1,4.0,8.0,0,,21077.0
30,44.0,5.0,第4节,18.5,0.83,-18.5,0.83,18.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,88,107,0.0,1,4.0,8.0,0,,21078.0
31,44.0,5.0,第4节,18.5,0.83,-18.5,0.83,18.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,88,107,0.0,1,4.0,8.0,0,,21080.0
32,44.0,5.0,第4节,18.5,0.77,-19.5,0.91,-19.5,2:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,88,107,0.0,1,4.0,8.0,0,,21078.0
33,44.0,5.0,第4节,19.5,0.77,-19.5,0.77,19.5,2:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,88,107,0.0,1,4.0,8.0,0,,21078.0
34,44.0,5.0,第4节,19.5,0.91,-18.5,0.77,-18.5,2:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,88,107,0.0,1,4.0,8.0,0,,21078.0
35,44.0,5.0,第4节,18.5,0.91,-18.5,0.77,18.5,2:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,88,107,0.0,1,4.0,8.0,0,,21079.0
36,44.0,5.0,第4节,18.5,0.91,-18.5,0.77,18.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,0.0,1,4.0,8.0,0,,11077.0
37,44.0,5.0,第4节,18.5,0.91,-18.5,0.77,18.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,0.0,1,4.0,5.0,0,,11077.0
38,44.0,5.0,第4节,18.5,0.91,-18.5,0.77,18.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,0.0,1,4.0,5.0,0,,21086.0
39,44.0,5.0,第4节,18.5,0.77,-19.5,0.91,-19.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,1.0,1,4.0,5.0,0,,11077.0
40,44.0,5.0,第4节,19.5,0.83,-19.5,0.83,19.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,1.0,1,4.0,5.0,0,,11078.0
41,44.0,5.0,第4节,19.5,0.83,-19.5,0.83,19.5,1:2,12,8,29,23,13,13,0,0,3,2,65.0,65.0,89,107,0.0,1,4.0,5.0,0,,11078.0
