,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
135,44.0,5.0,第4节,10.5,0.77,-10.5,0.91,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,111,1.0,1,1.0,19.0,0,,11077.0
136,44.0,5.0,第4节,10.5,0.71,-10.5,1.0,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,111,1.0,1,1.0,19.0,0,,11077.0
137,44.0,5.0,第4节,10.5,1.1,-10.5,0.66,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,111,1.0,1,1.0,13.0,0,,11077.0
138,44.0,5.0,第4节,10.5,1.1,-10.5,0.66,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,111,1.0,1,1.0,13.0,0,,11074.0
139,44.0,5.0,第4节,10.5,1.1,-10.5,0.66,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,113,1.0,1,1.0,13.0,0,,21077.0
140,44.0,5.0,第4节,10.5,1.1,-10.5,0.66,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,113,1.0,1,1.0,12.0,0,,21077.0
141,44.0,5.0,第4节,10.5,1.1,-10.5,0.66,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,113,1.0,1,1.0,12.0,0,,21077.0
142,44.0,5.0,第4节,10.5,1.1,-10.5,0.66,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,113,1.0,1,1.0,11.0,0,,21077.0
143,44.0,5.0,第4节,10.5,1.1,-10.5,0.66,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,113,1.0,1,1.0,11.0,0,,21077.0
144,44.0,5.0,第4节,10.5,1.1,-10.5,0.66,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,113,1.0,1,1.0,3.0,0,,21077.0
145,44.0,5.0,第4节,10.5,1.0,-11.5,0.71,-11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,113,1.0,1,1.0,3.0,0,,21077.0
146,44.0,5.0,第4节,11.5,1.0,-11.5,0.71,11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,113,1.0,1,1.0,0.0,0,,21077.0
147,44.0,5.0,第4节,11.5,1.0,-11.5,0.71,11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,113,1.0,1,1.0,0.0,0,,11077.0
148,44.0,5.0,第4节,11.5,1.0,-11.5,0.71,11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,113,1.0,1,1.0,0.0,0,,11074.0
149,44.0,5.0,第4节,11.5,1.0,-11.5,0.71,11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,115,1.0,1,0.0,55.0,0,,21077.0
150,44.0,5.0,第4节,11.5,1.0,-12.5,0.71,-12.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,115,1.0,1,0.0,55.0,0,,21077.0
151,44.0,5.0,第4节,12.5,1.0,-12.5,0.71,12.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,115,1.0,1,0.0,54.0,0,,21077.0
152,44.0,5.0,第4节,12.5,1.0,-12.5,0.71,12.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,115,1.0,1,0.0,54.0,0,,21081.0
153,44.0,5.0,第4节,12.5,0.91,-13.5,0.77,-13.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,115,1.0,1,0.0,54.0,0,,21077.0
154,44.0,5.0,第4节,13.5,0.91,-13.5,0.77,13.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,115,1.0,1,0.0,39.0,0,,21077.0
155,44.0,5.0,第4节,13.5,0.91,-13.5,0.77,13.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,115,1.0,1,0.0,39.0,0,,11077.0
156,44.0,5.0,第4节,13.5,0.91,-13.5,0.77,13.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,115,1.0,1,0.0,28.0,0,,11077.0
157,44.0,5.0,第4节,13.5,0.91,-12.5,0.77,-12.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,115,1.0,1,0.0,28.0,0,,11077.0
158,44.0,5.0,第4节,12.5,0.91,-12.5,0.77,12.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,115,1.0,1,0.0,28.0,0,,21077.0
159,44.0,5.0,第4节,12.5,0.91,-11.5,0.77,-11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,115,1.0,1,0.0,24.0,0,,21077.0
160,44.0,5.0,第4节,11.5,0.91,-11.5,0.77,11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,102,115,1.0,1,0.0,24.0,0,,21074.0
161,44.0,5.0,第4节,11.5,0.91,-11.5,0.77,11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,104,115,1.0,1,0.0,24.0,0,,11077.0
162,44.0,5.0,第4节,11.5,0.91,-11.5,0.77,11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,104,115,1.0,1,0.0,23.0,0,,11077.0
163,44.0,5.0,第4节,11.5,0.91,-11.5,0.77,11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,104,115,1.0,1,0.0,23.0,0,,11077.0
164,44.0,5.0,第4节,11.5,0.91,-11.5,0.77,11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,104,115,1.0,1,0.0,20.0,0,,11077.0
165,44.0,5.0,第4节,11.5,0.91,-11.5,0.77,11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,104,115,1.0,1,0.0,20.0,0,,11077.0
166,44.0,5.0,第4节,11.5,0.91,-11.5,0.77,11.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,104,115,1.0,1,0.0,6.0,0,,11077.0
167,44.0,5.0,第4节,11.5,1.0,-10.5,0.71,-10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,104,115,1.0,1,0.0,6.0,0,,21077.0
168,44.0,5.0,第4节,10.5,1.0,-10.5,0.71,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,104,115,1.0,1,0.0,6.0,0,,21074.0
169,44.0,5.0,第4节,10.5,1.0,-10.5,0.71,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,106,115,1.0,1,0.0,6.0,0,,11077.0
170,44.0,5.0,第4节,10.5,0.0,-10.5,0.0,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,106,115,1.0,1,0.0,0.0,0,,11077.0
171,44.0,5.0,第4节,10.5,0.0,-10.5,0.0,10.5,,12,8,29,23,13,13,0,0,3,2,65.0,65.0,106,115,1.0,1,0.0,0.0,0,,1084.0
