,AM,AS,CB,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,MD,MS,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
27,,,PHUMUSVI,,,,6.5,0.83,-6.5,0.83,193.5,0.83,193.5,0.83,-6.5,,,9482924.0,0.0,2:2,,,,,,,,,,1.0,0.0,0.0,0.0,1,11.0,1~GD,22.0,1.0,20180721113221.0,11080.0,,0.0,0.0
28,,,PHUMUSVI,,,,6.5,0.83,-6.5,0.83,193.5,0.83,193.5,0.83,-6.5,,,9482924.0,0.0,2:2,,,,,,,,,,1.0,0.0,0.0,0.0,1,11.0,1~GD,22.0,1.0,20180721113227.0,11080.0,,0.0,0.0
29,,,PHUMUSVI,,,,6.5,0.83,-6.5,0.83,193.5,0.83,193.5,0.83,-6.5,,,9482924.0,0.0,2:2,,,,,,,,,,1.0,0.0,0.0,0.0,1,11.0,1~GD,22.0,1.0,20180721113227.0,11080.0,,0.0,0.0
30,,,PHUMUSVI,,,,6.5,0.83,-6.5,0.83,193.5,0.83,193.5,0.83,-6.5,,,9482924.0,0.0,2:2,,,,,,,,,,1.0,0.0,0.0,0.0,1,11.0,1~GD,22.0,1.0,20180721113234.0,11080.0,,0.0,0.0
31,,,PHUMUSVI,,,,6.5,0.83,-6.5,0.83,192.5,0.83,193.5,0.83,192.5,,,9482924.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,1,11.0,1~GD,22.0,1.0,20180721113234.0,21077.0,,0.0,0.0
32,,,PHUMUSVI,,,,6.5,0.83,-6.5,0.83,192.5,0.83,192.5,0.83,192.5,,,9482924.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,1,11.0,1~GD,14.0,1.0,20180721113243.0,21077.0,,0.0,0.0
33,,,PHUMUSVI,,,,6.5,0.83,-6.5,0.83,191.5,0.87,192.5,0.8,191.5,,,9482924.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,1,11.0,1~GD,14.0,1.0,20180721113243.0,21077.0,,0.0,0.0
34,,,PHUMUSVI,,,,6.5,0.83,-6.5,0.83,191.5,0.87,191.5,0.8,191.5,,,9482924.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,1,11.0,1~GD,6.0,1.0,20180721113251.0,21077.0,,0.0,0.0
35,,,PHUMUSVI,,,,6.5,0.83,-6.5,0.83,191.5,0.83,191.5,0.8,191.5,,,9482924.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,1,11.0,1~GD,6.0,1.0,20180721113251.0,21077.0,,0.0,0.0
36,,,PHUMUSVI,,,,6.5,0.83,-6.5,0.83,191.5,0.83,191.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,1,10.0,1~GD,59.0,1.0,20180721113257.0,21077.0,,0.0,0.0
37,,,PHUMUSVI,,,,6.5,0.83,-6.5,0.83,190.5,0.83,191.5,0.83,190.5,,,9482924.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,1,10.0,1~GD,59.0,1.0,20180721113257.0,21077.0,,0.0,0.0
38,,,PHUMUSVI,,,,6.5,0.83,-6.5,0.83,190.5,0.83,190.5,0.83,190.5,,,9482924.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,1,10.0,1~GD,54.0,1.0,20180721113302.0,21077.0,,0.0,0.0
39,,,PHUMUSVI,,,,6.5,0.83,-6.5,0.83,193.5,0.83,190.5,0.83,193.5,,,9482924.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,1,10.0,1~GD,54.0,1.0,20180721113302.0,11077.0,,0.0,0.0
40,,,PHUMUSVI,,,,6.5,0.83,-6.5,0.83,193.5,0.83,193.5,0.83,193.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,51.0,1.0,20180721113305.0,11077.0,,0.0,0.0
41,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,193.5,0.83,193.5,0.83,7.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,51.0,1.0,20180721113305.0,11077.0,,0.0,0.0
42,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,193.5,0.83,193.5,0.83,-7.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,47.0,1.0,20180721113309.0,11074.0,,0.0,0.0
43,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,192.5,0.83,193.5,0.83,192.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,47.0,1.0,20180721113309.0,21077.0,,0.0,0.0
44,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,192.5,0.83,192.5,0.83,192.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,39.0,1.0,20180721113317.0,21077.0,,0.0,0.0
45,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,191.5,0.83,192.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,39.0,1.0,20180721113317.0,21077.0,,0.0,0.0
46,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,191.5,0.83,191.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,33.0,1.0,20180721113322.0,21077.0,,0.0,0.0
47,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,191.5,0.83,191.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,33.0,1.0,20180721113322.0,21077.0,,0.0,0.0
48,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,191.5,0.83,191.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,27.0,0.0,20180721113329.0,21077.0,,0.0,0.0
49,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,191.5,0.83,191.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,27.0,0.0,20180721113329.0,21077.0,,0.0,0.0
50,,,PHUMUSVI,,,,7.5,0.83,-7.5,0.83,191.5,0.83,191.5,0.83,191.5,,,9482924.0,0.0,,,,,,,,,,,3.0,0.0,0.0,0.0,1,10.0,1~GD,29.0,0.0,20180721113333.0,21077.0,,0.0,0.0
