,AM,AS,ED,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,,6,11,,20,15,,16,13,,1,2,,10,6,,64.0,61.9,74,76,0,1,4.0,15.0,1,20181019175617,11077
1,,,,,,,6,11,,20,15,,16,13,,1,2,,10,6,,64.0,61.9,74,76,0,1,4.0,9.0,0.0,20181019175623.0,11077
2,,,,,,,6,11,,20,15,,16,13,,1,2,,10,6,,64.0,61.9,74,76,0,1,4.0,9.0,0.0,20181019175628.0,11077
3,,,,,,,6,11,,20,15,,16,13,,1,2,,10,6,,64.0,61.9,74,76,0,1,4.0,9.0,1.0,20181019175641.0,11077
4,,,,,,,6,11,,20,15,,16,13,,1,2,,10,6,,64.0,61.9,74,76,0,1,4.0,0.0,1.0,20181019175649.0,11077
5,,,,,,,6,11,,20,15,,16,13,,1,2,,10,6,,64.0,61.9,74,76,0,1,3.0,54.0,0.0,20181019175656.0,11077
6,,,,,,,6,11,,20,15,,16,13,,1,2,,10,6,,64.0,61.9,74,76,0,1,3.0,54.0,0.0,20181019175658.0,11086.0
7,,,,,^1:2,,6,11,,20,15,14.0,16,13,,1,2,11.0,10,6,63.6,64.0,61.9,74,76,0,1,3.0,54.0,0.0,20181019175658.0,11086^21078
8,,,,,2:2^,,6,11,,20,15,14.0,16,13,,1,2,11.0,10,6,60.9,64.0,61.9,74,76,0,1,3.0,54.0,1.0,20181019175732.0,21080^11077
9,,,,,2:2^,,6,11,,20,15,14.0,16,13,,1,2,11.0,10,6,60.9,64.0,61.9,74,76,0,1,3.0,54.0,1.0,20181019175733.0,21080^11077
10,,,,,,,6,11,,20,15,14.0,16,13,,1,2,11.0,10,6,60.9,64.0,61.9,74,76,0,1,3.0,51.0,1.0,20181019175736.0,11077.0
11,,,,,,,6,11,,20,15,14.0,16,13,,1,2,11.0,10,6,60.9,64.0,61.9,74,76,0,1,3.0,42.0,1.0,20181019175744.0,11077.0
12,,,,,,,6,11,,20,15,14.0,16,13,,1,2,11.0,10,6,60.9,64.0,61.9,74,76,0,1,3.0,40.0,0.0,20181019175747.0,11077.0
13,,,,,,,6,11,,20,15,14.0,16,13,,1,2,11.0,10,6,60.9,64.0,61.9,74,76,0,1,3.0,40.0,0.0,20181019175754.0,21086.0
14,,,,,,,6,11,,20,15,14.0,16,13,,1,2,11.0,10,6,60.9,64.0,61.9,74,76,0,1,3.0,40.0,0.0,20181019175755.0,21086.0
15,,,,,^1:2,,6,11,,20,15,14.0,16,13,,1,2,7.0,10,6,61.5,64.0,61.9,74,76,0,1,3.0,40.0,0.0,20181019175755.0,21086^11078
16,,,,,2:2^,,6,11,,20,15,14.0,16,13,,1,2,7.0,10,6,59.3,64.0,61.9,74,76,0,1,3.0,40.0,1.0,20181019175820.0,11080^21077
17,,,,,2:2^,,6,11,,20,15,14.0,16,13,,1,2,7.0,10,6,59.3,64.0,61.9,74,76,0,1,3.0,40.0,1.0,20181019175821.0,11080^21077
18,,,,,^,,6,11,21.0,20,15,14.0,16,13,,1,2,7.0,10,6,59.3,64.0,61.9,76,77,0,1,3.0,35.0,1.0,20181019175825.0,11074^21077
