,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,MD,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,4.0,1.5,0.0,-1.5,0.0,,,,,,6,4,,26,30,,8,4,,2,2,,3,3,,50.0,80.0,,77,76,0,1,1.0,18.0,0,20180917082921,11081
1,,,,4.0,1.5,0.0,-1.5,0.0,,,,,,6,4,,26,30,,8,4,,2,2,,3,3,,50.0,80.0,,77,76,0,1,1.0,18.0,1.0,20180917083135.0,11077.0
2,,,,4.0,1.5,0.0,-1.5,0.0,,,,,,6,4,,26,30,,8,4,,2,2,,3,3,,50.0,80.0,,77,76,0,1,1.0,17.0,1.0,20180917083135.0,11077.0
3,,,,4.0,1.5,0.0,-1.5,0.0,,,,,,6,4,,26,30,,8,4,,2,2,,3,3,,50.0,80.0,,77,76,0,1,1.0,8.0,1.0,20180917083143.0,11077.0
4,,,,4.0,1.5,0.0,-1.5,0.0,,,,,,6,4,,26,30,,8,4,,2,2,,3,3,,50.0,80.0,,77,76,0,1,1.0,10.0,1.0,20180917083146.0,21077.0
5,,,,4.0,1.5,0.0,-1.5,0.0,,,,,,6,4,,26,30,,8,4,,2,2,,3,3,,50.0,80.0,,77,76,0,1,1.0,9.0,1.0,20180917083146.0,21077.0
6,,,,4.0,1.5,0.0,-1.5,0.0,3.0,,,,,6,4,,26,30,,8,4,,2,2,,3,3,,50.0,80.0,,77,76,0,1,0.0,0.0,1.0,20180917083155.0,11077.0
7,,,,4.0,1.5,0.0,-1.5,0.0,3.0,,,,,6,4,,26,30,,8,4,,2,2,,3,3,,50.0,80.0,,77,76,0,1,0.0,53.0,1.0,20180917083203.0,21077.0
8,,,,4.0,-1.5,0.0,1.5,0.0,3.0,,,,,6,4,31.0,26,30,,8,4,,2,2,,3,3,,50.0,80.0,78.0,77,78,0,1,0.0,31.0,1.0,20180917083224.0,11077.0
9,,,,4.0,-1.5,0.0,1.5,0.0,2.0,,,,,6,4,31.0,26,30,,8,4,,2,2,,3,3,,50.0,80.0,78.0,77,78,0,1,0.0,9.0,0.0,20180917083246.0,11077.0
