,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,,-2.5,0.87,2.5,0.8,130.5,0.83,130.5,0.83,,,,,,,0.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
1,,,,第1节,,-2.5,0.83,2.5,0.83,130.5,0.83,130.5,0.83,,,,,,,1.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
2,,,,第1节,,-2.5,0.83,2.5,0.83,130.5,0.83,130.5,0.83,,,,,,,1.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
3,,,,第1节,,-2.5,0.83,2.5,0.83,130.5,0.83,130.5,0.83,,,,,,,1.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
4,,,,第1节,,-2.5,0.83,2.5,0.83,130.5,0.83,130.5,0.83,,,,,,,1.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
5,,,,第1节,,-2.5,0.83,2.5,0.83,130.5,0.83,130.5,0.83,,,,,,,1.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
6,,,,第1节,,-2.5,0.83,2.5,0.83,130.5,0.83,130.5,0.83,,,,,,,1.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
7,,,,第1节,,-2.5,0.83,2.5,0.83,130.5,0.83,130.5,0.83,,,,,,,0.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
8,,,,第1节,,-2.5,0.83,2.5,0.83,130.5,0.83,130.5,0.83,,,,,,,0.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
9,,,,第1节,,-2.5,0.83,2.5,0.83,130.5,0.83,130.5,0.83,,,,,,,0.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
10,,,,第1节,,-2.5,0.83,2.5,0.83,130.5,0.83,130.5,0.83,,,,,,,0.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
11,,,,第1节,,-2.5,0.83,2.5,0.83,130.5,0.83,130.5,0.83,,,,,,,0.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
12,,,,第1节,,-2.5,0.87,3.5,0.8,130.5,0.83,130.5,0.83,3.5,,,,,,0.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
13,,,,第1节,,-3.5,0.87,3.5,0.8,130.5,0.83,131.5,0.83,-3.5,,,,,,0.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
14,,,,第1节,,-3.5,0.87,3.5,0.8,131.5,0.83,131.5,0.83,131.5,,,,,,0.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
15,,,,第1节,,-3.5,0.87,3.5,0.8,131.5,0.83,131.5,0.83,131.5,,1.25,,,,0.0,1,8.0,9.0,0,20180630123150,21077,0.66,1.1
16,,,,第1节,,-3.5,0.87,3.5,0.8,131.5,0.83,131.5,0.83,131.5,,0.0,1:2,,,0.0,1,8.0,9.0,0,20180630123150,21078.0,0.66,1.1
17,,,,第1节,,-3.5,0.87,3.5,0.8,131.5,0.83,131.5,0.83,131.5,,0.0,1:2,,,0.0,1,8.0,9.0,0,20180630123150,21079.0,0.66,1.1
18,,,,第1节,,-3.5,0.83,3.5,0.83,132.5,0.83,132.5,0.83,132.5,,0.0,2:2,,,0.0,1,8.0,9.0,0,20180630123150,21078.0,0.66,1.1
19,,,,第1节,,-3.5,0.83,3.5,0.83,132.5,0.83,132.5,0.83,132.5,,0.0,2:2,1.0,2.0,0.0,1,8.0,9.0,0,20180630123150,21078.0,0.66,1.1
20,,,,第1节,,-3.5,0.83,3.5,0.83,132.5,0.83,132.5,0.83,132.5,,0.0,2:2,1.0,2.0,0.0,1,8.0,9.0,0,20180630123150,21079.0,0.66,1.1
21,,,,第1节,,-3.5,0.83,3.5,0.83,132.5,0.83,132.5,0.83,132.5,,0.0,,2.0,2.0,0.0,1,8.0,9.0,0,20180630123150,11077.0,0.66,1.1
22,,,,第1节,,-3.5,0.83,3.5,0.83,132.5,0.83,132.5,0.83,132.5,,1.3,,2.0,2.0,0.0,1,8.0,9.0,0,20180630123150,11077.0,0.66,1.1
23,,,,第1节,,-3.5,0.83,3.5,0.83,132.5,0.83,132.5,0.83,132.5,,0.56,,2.0,2.0,0.0,1,8.0,9.0,1.0,20180630123226.0,11077.0,0.66,1.1
