,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
19,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,149.5,0.9090909090909091,149.5,0.7692307692307693,,,,5.0,5,25.0,11.0,7.0,11.0,2,1,0.0,3.0,77.8,84.6,73,48,0,1,8.0,2.0,0.0,20180922172205.0,21086.0
20,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,149.5,0.9090909090909091,149.5,0.7692307692307693,,,,5.0,5,25.0,11.0,7.0,11.0,2,1,0.0,3.0,77.8,84.6,73,48,0,1,8.0,2.0,0.0,20180922172222.0,11077.0
21,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,149.5,0.9090909090909091,149.5,0.7692307692307693,,,,5.0,5,25.0,11.0,7.0,11.0,2,1,0.0,3.0,77.8,84.6,73,48,0,1,8.0,2.0,1.0,20180922172223.0,11077.0
22,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,149.5,0.8695652173913043,149.5,0.8,,,,5.0,5,25.0,11.0,7.0,11.0,2,1,0.0,3.0,77.8,84.6,73,48,0,1,7.0,59.0,1.0,20180922172224.0,11077.0
23,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,5.0,5,25.0,11.0,7.0,11.0,2,1,0.0,3.0,77.8,84.6,73,48,0,1,7.0,55.0,0.0,20180922172229.0,11077.0
24,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,5.0,5,25.0,11.0,7.0,11.0,2,1,0.0,3.0,77.8,84.6,73,48,0,1,7.0,55.0,0.0,20180922172235.0,11077.0
25,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,5.0,5,25.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,73,48,0,1,7.0,55.0,0.0,20180922172237.0,11086.0
26,4.0,25.5,0.7692307692307693,-25.5,0.9090909090909091,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,5.0,5,25.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,73,48,0,1,7.0,55.0,0.0,20180922172238.0,11086.0
27,4.0,24.5,0.8,-24.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,5.0,5,25.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,73,48,0,1,7.0,55.0,0.0,20180922172246.0,21077.0
28,4.0,24.5,0.8,-24.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,5.0,5,25.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,73,48,0,1,7.0,55.0,1.0,20180922172246.0,21077.0
29,4.0,24.5,0.8,-24.5,0.8695652173913043,148.5,0.9090909090909091,148.5,0.7692307692307693,,,,5.0,5,25.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,73,48,0,1,7.0,46.0,1.0,20180922172255.0,21077.0
30,4.0,24.5,0.8,-24.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,,,,5.0,5,25.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,73,48,0,1,7.0,38.0,1.0,20180922172303.0,21077.0
31,4.0,25.5,0.8,-25.5,0.8695652173913043,147.5,0.9090909090909091,147.5,0.7692307692307693,,,,5.0,5,25.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,73,48,0,1,7.0,31.0,1.0,20180922172311.0,11077.0
32,4.0,25.5,0.8,-25.5,0.8695652173913043,147.5,0.8333333333333334,147.5,0.8333333333333334,,,,5.0,5,25.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,73,48,0,1,7.0,22.0,1.0,20180922172319.0,11077.0
33,4.0,26.5,0.8,-26.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,,^,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,7.0,22.0,1.0,20180922172320.0,11074^21077
34,4.0,26.5,0.8,-26.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,7.0,22.0,1.0,20180922172321.0,21077.0
35,4.0,26.5,0.8,-26.5,0.8695652173913043,149.5,0.7692307692307693,149.5,0.9090909090909091,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,7.0,13.0,1.0,20180922172329.0,21077.0
36,4.0,26.5,0.8,-26.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,7.0,5.0,1.0,20180922172337.0,21077.0
37,4.0,27.5,0.8,-27.5,0.8695652173913043,148.5,0.7692307692307693,148.5,0.9090909090909091,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,7.0,1.0,1.0,20180922172341.0,11077.0
38,4.0,27.5,0.8,-27.5,0.8695652173913043,147.5,0.8333333333333334,147.5,0.8333333333333334,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,6.0,52.0,1.0,20180922172349.0,11077.0
39,4.0,27.5,0.8,-27.5,0.8695652173913043,147.5,0.8,147.5,0.8695652173913043,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,6.0,48.0,0.0,20180922172354.0,11077.0
40,4.0,26.5,0.8,-26.5,0.8695652173913043,147.5,0.8,147.5,0.8695652173913043,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,6.0,48.0,0.0,20180922172359.0,21077.0
41,4.0,26.5,0.8,-26.5,0.8695652173913043,147.5,0.7692307692307693,147.5,0.9090909090909091,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,6.0,46.0,0.0,20180922172403.0,21077.0
42,4.0,26.5,0.8,-26.5,0.8695652173913043,147.5,0.7692307692307693,147.5,0.9090909090909091,,,,5.0,5,26.0,11.0,7.0,11.0,2,1,1.0,3.0,77.8,84.6,75,48,0,1,6.0,46.0,0.0,20180922172417.0,21077.0
