,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,0.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
1,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,1.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
2,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,1.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
3,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,1.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
4,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,1.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
5,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,1.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
6,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,1.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
7,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,0.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
8,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,0.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
9,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,0.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
10,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,0.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
11,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,0.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
12,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,0.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
13,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,1.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
14,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,1.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
15,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,,,2,0,0,0,21,30,8,8,,,0.0,0,0.0,,0.0,1,20180709163023,21002,0.0,0.0
16,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,1.0,,2,0,0,0,21,30,8,8,,,0.0,0,0.0,GD,0.0,1,20180709163023,1087.0,0.0,0.0
17,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,1.0,,2,0,0,0,21,30,8,8,,,0.0,0,9.0,GD,58.0,1,20180709163023,11077.0,0.0,0.0
18,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,1.0,,2,0,0,0,21,30,8,8,,,0.0,0,9.0,GD,58.0,1,20180709163023,11074.0,0.0,0.0
19,,,,,16.5,0.83,-16.5,0.83,130.5,0.83,130.5,0.83,,1.0,,2,0,0,0,21,30,8,8,,,0.0,0,9.0,GD,46.0,1,20180709163023,21077.0,0.0,0.0
