,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,4.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,174.5,0.9090909090909091,174.5,0.7692307692307693,,,,12,7,15.0,25.0,5,9,5,4,1.0,1.0,71.4,64.3,71,80,0,1,5.0,56.0,1,20181019181636,21077,0.05,7.5
1,4.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,,12,7,15.0,25.0,5,9,5,4,1.0,1.0,71.4,64.3,71,80,0,1,5.0,53.0,0.0,20181019181639.0,21077,0.05,7.5
2,4.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,,12,7,15.0,25.0,5,9,5,4,1.0,2.0,71.4,64.3,71,80,0,1,5.0,53.0,0.0,20181019181639.0,11077.0,0.05,7.5
3,4.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,,12,7,15.0,25.0,5,9,5,4,1.0,2.0,71.4,64.3,71,80,0,1,5.0,53.0,1.0,20181019181655.0,11077.0,0.05,7.5
4,4.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,174.5,0.7692307692307693,174.5,0.9090909090909091,,,,12,7,15.0,25.0,5,9,5,4,1.0,2.0,71.4,64.3,71,80,0,1,5.0,44.0,1.0,20181019181703.0,11077.0,0.05,7.5
5,4.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,175.5,0.8695652173913043,175.5,0.8,,^,,12,7,16.0,25.0,5,9,5,4,1.0,2.0,71.4,64.3,73,80,0,1,5.0,37.0,1.0,20181019181710.0,11074^21077,0.09090909090909091,5.75
6,4.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,175.5,0.8695652173913043,175.5,0.8,,,,12,7,16.0,25.0,5,9,5,4,1.0,2.0,71.4,64.3,73,80,0,1,5.0,37.0,1.0,20181019181711.0,21077.0,0.09090909090909091,5.75
7,4.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,175.5,0.7692307692307693,175.5,0.9090909090909091,,,,12,7,16.0,25.0,5,9,5,4,1.0,2.0,71.4,64.3,73,80,0,1,5.0,28.0,1.0,20181019181719.0,21077.0,0.09090909090909091,5.75
8,4.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,176.5,0.9090909090909091,176.5,0.7692307692307693,,^,,12,7,16.0,26.0,5,9,5,4,1.0,2.0,71.4,64.3,73,82,0,1,5.0,25.0,1.0,20181019181723.0,21074^11077,0.0625,7.0
9,4.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,176.5,0.8,176.5,0.8695652173913043,,,,12,7,16.0,26.0,5,9,5,4,1.0,2.0,71.4,64.3,73,82,0,1,5.0,16.0,1.0,20181019181731.0,11077.0,0.0625,7.0
10,4.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,175.5,0.9090909090909091,175.5,0.7692307692307693,,,,12,7,16.0,26.0,5,9,5,4,1.0,2.0,71.4,64.3,73,82,0,1,5.0,8.0,1.0,20181019181739.0,11077.0,0.0625,7.0
11,4.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,12,7,16.0,26.0,5,9,5,4,1.0,2.0,71.4,64.3,73,82,0,1,5.0,6.0,0.0,20181019181741.0,11077.0,0.05555555555555555,7.25
12,4.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,12,7,16.0,26.0,5,9,5,4,1.0,2.0,71.4,64.3,73,82,0,1,5.0,6.0,0.0,20181019181746.0,11095.0,0.05555555555555555,7.25
