,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,LA,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
19,,19.5,0.0,-19.5,0.0,133.5,0.8333333333333334,132.5,0.8333333333333334,-19.5,132.5,,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,1.0,2.0,0.0,20180913084657.0,21077.0,0.30303030303030304,2.4,
20,,19.5,0.0,-19.5,0.0,133.5,0.8333333333333334,132.5,0.8333333333333334,-19.5,132.5,,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,1.0,2.0,1.0,20180913084659.0,21077.0,0.30303030303030304,2.4,
21,,19.5,0.0,-19.5,0.0,133.5,0.8333333333333334,132.5,0.8333333333333334,-19.5,132.5,1.0,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,0.0,53.0,1.0,20180913084707.0,21077.0,0.30303030303030304,2.4,
22,,19.5,0.0,-19.5,0.0,133.5,0.8333333333333334,132.5,0.8333333333333334,-19.5,132.5,1.0,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,0.0,51.0,1.0,20180913084709.0,21095.0,0.30303030303030304,2.4,"0.02,0.47"
23,,20.5,0.0,-20.5,0.0,133.5,0.8333333333333334,132.5,0.8333333333333334,-20.5,132.5,1.0,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,0.0,51.0,1.0,20180913084710.0,11077.0,0.30303030303030304,2.4,
24,,20.5,0.0,-20.5,0.0,133.5,0.8333333333333334,132.5,0.8333333333333334,-20.5,132.5,1.0,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,0.0,51.0,1.0,20180913084710.0,11077.0,0.30303030303030304,2.4,
25,,20.5,0.0,-20.5,0.0,133.5,0.8333333333333334,132.5,0.8333333333333334,-20.5,132.5,1.0,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,0.0,51.0,1.0,20180913084710.0,11077.0,0.30303030303030304,2.4,
26,,20.5,0.0,-20.5,0.0,133.5,0.8333333333333334,132.5,0.8333333333333334,-20.5,132.5,1.0,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,0.0,46.0,0.0,20180913084715.0,11077.0,0.30303030303030304,2.4,
27,,21.5,0.0,-21.5,0.0,133.5,0.8333333333333334,132.5,0.8333333333333334,-21.5,132.5,1.0,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,0.0,46.0,0.0,20180913084715.0,11077.0,0.30303030303030304,2.4,
28,,21.5,0.0,-21.5,0.0,133.5,0.8333333333333334,132.5,0.8333333333333334,-21.5,132.5,1.0,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,0.0,46.0,0.0,20180913084715.0,11077.0,0.30303030303030304,2.4,
29,,21.5,0.0,-21.5,0.0,133.5,0.8333333333333334,132.5,0.8333333333333334,-21.5,132.5,1.0,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,0.0,46.0,0.0,20180913084716.0,21077.0,0.30303030303030304,2.4,
30,,21.5,0.0,-21.5,0.0,131.5,0.8333333333333334,131.5,0.8333333333333334,131.5,131.5,1.0,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,0.0,46.0,0.0,20180913084716.0,21077.0,0.30303030303030304,2.3,
31,,21.5,0.0,-21.5,0.0,131.5,0.8333333333333334,131.5,0.8333333333333334,131.5,131.5,1.0,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,0.0,46.0,1.0,20180913084733.0,21077.0,0.30303030303030304,2.3,
32,,21.5,0.0,-21.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,130.5,130.5,1.0,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,0.0,46.0,1.0,20180913084733.0,21077.0,0.30303030303030304,2.3,
33,,21.5,0.0,-21.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,130.5,130.5,1.0,,6,6,31.0,21.0,11,11,2,0,4,1,68.8,64.7,89,69,0,1,0.0,37.0,1.0,20180913084741.0,21077.0,0.30303030303030304,2.3,
34,,20.5,0.0,-20.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-20.5,130.5,1.0,^,6,6,31.0,22.0,11,11,2,0,4,1,68.8,64.7,93,73,0,1,0.0,36.0,1.0,20180913084743.0,21074^11077,0.30303030303030304,2.3,"0.11,0.59^"
35,,20.5,0.0,-20.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-20.5,130.5,1.0,^,6,6,31.0,22.0,11,11,2,0,4,1,68.8,64.7,93,73,0,1,0.0,36.0,1.0,20180913084743.0,21074^11077,0.30303030303030304,2.3,"0.11,0.59^"
36,,20.5,0.0,-20.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-20.5,130.5,1.0,^,6,6,31.0,22.0,11,11,2,0,4,1,68.8,64.7,93,73,0,1,0.0,36.0,1.0,20180913084743.0,21074^11077,0.30303030303030304,2.3,"0.11,0.59^"
37,,20.5,0.0,-20.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-20.5,130.5,1.0,,6,6,31.0,22.0,11,11,2,0,4,1,68.8,64.7,93,73,0,1,0.0,35.0,0.0,20180913084744.0,11077.0,0.30303030303030304,2.3,
38,,20.5,0.0,-20.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-20.5,130.5,1.0,,6,6,31.0,22.0,11,11,2,0,4,1,68.8,64.7,93,73,0,1,0.0,35.0,1.0,20180913084745.0,11077.0,0.30303030303030304,2.3,
39,,20.5,0.0,-20.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-20.5,130.5,1.0,,6,6,31.0,22.0,11,11,2,0,4,1,68.8,64.7,93,73,0,1,0.0,35.0,1.0,20180913084745.0,11077.0,0.30303030303030304,2.3,
40,,20.5,0.0,-20.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-20.5,130.5,1.0,,6,6,31.0,22.0,11,11,2,0,4,1,68.8,64.7,93,73,0,1,0.0,26.0,0.0,20180913084754.0,11077.0,0.30303030303030304,2.3,
41,,21.5,0.0,-21.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-21.5,130.5,1.0,,6,6,31.0,22.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,26.0,0.0,20180913084755.0,11077.0,0.30303030303030304,2.3,
42,,21.5,0.0,-21.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-21.5,130.5,1.0,,6,6,31.0,22.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,26.0,0.0,20180913084755.0,11077.0,0.30303030303030304,2.3,
43,,21.5,0.0,-21.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-21.5,130.5,1.0,,6,6,31.0,22.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,26.0,0.0,20180913084755.0,11077.0,0.30303030303030304,2.3,
44,,21.5,0.0,-21.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-21.5,130.5,1.0,,6,6,33.0,22.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,26.0,0.0,20180913084755.0,21077.0,0.30303030303030304,2.3,
45,,21.5,0.0,-21.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-21.5,130.5,1.0,,6,6,33.0,22.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,25.0,0.0,20180913084757.0,21077.0,0.30303030303030304,2.3,
46,,21.5,0.0,-21.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-21.5,130.5,1.0,,6,6,33.0,22.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,27.0,1.0,20180913084759.0,21077.0,0.30303030303030304,2.3,
47,,20.5,0.0,-20.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-20.5,130.5,1.0,,6,6,33.0,22.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,27.0,1.0,20180913084759.0,21077.0,0.30303030303030304,2.3,
48,,20.5,0.0,-20.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-20.5,130.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,27.0,1.0,20180913084759.0,11077.0,0.30303030303030304,2.3,
49,,20.5,0.0,-20.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-20.5,130.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,27.0,1.0,20180913084759.0,11077.0,0.30303030303030304,2.3,
50,,20.5,0.0,-20.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-20.5,130.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,27.0,0.0,20180913084759.0,11077.0,0.30303030303030304,2.3,
51,,20.5,0.0,-20.5,0.0,130.5,0.8333333333333334,130.5,0.8333333333333334,-20.5,130.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,27.0,1.0,20180913084808.0,11077.0,0.30303030303030304,2.3,
52,,20.5,0.0,-20.5,0.0,130.5,0.8,130.5,0.8695652173913043,-20.5,130.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,10.0,1.0,20180913084816.0,11077.0,0.30303030303030304,2.3,
53,,20.5,0.0,-20.5,0.0,129.5,0.8,129.5,0.8333333333333334,129.5,129.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,10.0,1.0,20180913084816.0,11077.0,0.30303030303030304,2.3,
54,,20.5,0.0,-20.5,0.0,129.5,0.8,129.5,0.8333333333333334,129.5,129.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,2.0,1.0,20180913084824.0,11077.0,0.30303030303030304,2.4,
55,,20.5,0.0,-20.5,0.0,129.5,0.8,129.5,0.8333333333333334,129.5,129.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084828.0,11077.0,0.30303030303030304,2.4,
56,,20.5,0.0,-20.5,0.0,128.5,0.8,128.5,0.8333333333333334,128.5,128.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084828.0,11077.0,0.30303030303030304,2.4,
57,,20.5,0.0,-20.5,0.0,128.5,0.8,128.5,0.8333333333333334,128.5,128.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084828.0,1084.0,0.30303030303030304,2.4,
58,,20.5,0.0,-20.5,0.0,128.5,0.8,128.5,0.8333333333333334,128.5,128.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.30303030303030304,2.4,
59,,20.5,0.0,-20.5,0.0,128.5,0.8,128.5,0.8333333333333334,128.5,128.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.30303030303030304,2.4,
60,,20.5,0.0,-20.5,0.0,128.5,0.8,128.5,0.8333333333333334,128.5,128.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.30303030303030304,2.3,
61,,20.5,0.0,-20.5,0.0,128.5,0.8,128.5,0.8333333333333334,128.5,128.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3125,2.3,
62,,20.5,0.0,-20.5,0.0,128.5,0.8,127.5,0.8333333333333334,128.5,128.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3125,2.3,
63,,20.5,0.0,-20.5,0.0,128.5,0.8,127.5,0.8333333333333334,128.5,127.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3125,2.3,
64,,20.5,0.0,-20.5,0.0,128.5,0.8,127.5,0.8333333333333334,127.5,127.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3125,2.3,
65,,20.5,0.0,-20.5,0.0,128.5,0.8,127.5,0.8333333333333334,127.5,127.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3125,2.3,
66,,20.5,0.0,-20.5,0.0,128.5,0.8,127.5,0.8695652173913043,127.5,127.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3125,2.3,
67,,20.5,0.0,-20.5,0.0,128.5,0.8,127.5,0.8695652173913043,127.5,127.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3125,2.3,
68,,20.5,0.0,-20.5,0.0,128.5,0.8,126.5,0.8695652173913043,127.5,127.5,1.0,,6,6,33.0,23.0,11,11,2,0,4,1,68.8,64.7,95,73,0,1,0.0,0.0,0.0,20180913084839.0,1084.0,0.3125,2.3,
