,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,OD,PG,PI,S1,S1_a,S2,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
15,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,147.5,0.8,147.5,0.8695652173913043,26.0,,0.23529411764705882,,,,3,13.0,12,,3,,4,,0,,33.3,,38,31.0,0,1,9.0,1.0,1.0,20181103003136.0,11077.0,2.15,0.3448275862068966
16,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.23529411764705882,,,,3,13.0,12,,3,,4,,0,,33.3,,38,31.0,0,1,8.0,52.0,1.0,20181103003144.0,11077.0,2.15,0.3448275862068966
17,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,146.5,0.8,146.5,0.8695652173913043,26.0,,0.23529411764705882,,,,3,13.0,12,,3,,4,,0,,33.3,,38,31.0,0,1,8.0,49.0,1.0,20181103003148.0,11094.0,2.15,0.3448275862068966
18,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,146.5,0.8,146.5,0.8695652173913043,26.0,,0.25,,,,3,13.0,12,,3,,4,,0,,33.3,,38,31.0,0,1,8.0,49.0,1.0,20181103003149.0,21077.0,2.15,0.3448275862068966
19,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,146.5,0.8,146.5,0.8695652173913043,26.0,,0.3125,^,,,3,13.0,12,,3,,4,,0,,33.3,,38,33.0,0,1,8.0,41.0,1.0,20181103003156.0,21074^11077,2.15,0.3448275862068966
20,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,146.5,0.8,146.5,0.8695652173913043,26.0,,0.3125,,,,3,13.0,12,,3,,4,,0,,33.3,,38,33.0,0,1,8.0,41.0,1.0,20181103003157.0,11077.0,2.15,0.3448275862068966
21,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,147.5,0.8333333333333334,147.5,0.8333333333333334,26.0,,0.3125,,,,3,13.0,12,,3,,4,,0,,33.3,,38,33.0,0,1,8.0,32.0,1.0,20181103003206.0,11077.0,2.15,0.3448275862068966
22,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.3125,,,,3,13.0,12,,3,,4,,0,,33.3,,38,33.0,0,1,8.0,24.0,1.0,20181103003214.0,11077.0,2.15,0.3448275862068966
23,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.3125,,,,3,13.0,12,,3,,4,,0,,33.3,,38,33.0,0,1,8.0,22.0,0.0,20181103003215.0,11077.0,2.15,0.3448275862068966
24,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.35714285714285715,,,,3,13.0,12,,3,,4,,0,,33.3,,38,33.0,0,1,8.0,22.0,0.0,20181103003216.0,21077.0,2.15,0.3448275862068966
25,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.35714285714285715,,,,3,13.0,12,,3,,4,,0,,33.3,,38,33.0,0,1,8.0,22.0,1.0,20181103003234.0,21077.0,2.15,0.3448275862068966
26,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,145.5,0.8695652173913043,145.5,0.8,26.0,,0.35714285714285715,,,,3,13.0,12,,3,,4,,0,,33.3,,38,33.0,0,1,8.0,13.0,0.0,20181103003242.0,21077.0,2.15,0.3448275862068966
27,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,145.5,0.8695652173913043,145.5,0.8,26.0,,0.43478260869565216,^,,,3,13.0,12,,3,,4,,0,,33.3,,38,35.0,0,1,8.0,13.0,0.0,20181103003244.0,21074^11077,2.15,0.3448275862068966
28,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,145.5,0.8695652173913043,145.5,0.8,26.0,,0.5,^,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,35.0,0,1,8.0,13.0,0.0,20181103003245.0,11086^21077,2.15,0.3448275862068966
29,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,145.5,0.8695652173913043,145.5,0.8,26.0,,0.5,1:1,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,35.0,0,1,8.0,13.0,0.0,20181103003246.0,21078.0,2.15,0.3448275862068966
30,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,26.0,,0.5,1:1^,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,8.0,13.0,0.0,20181103003308.0,21079^11077,2.15,0.3448275862068966
31,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,26.0,,0.5,,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,8.0,13.0,1.0,20181103003309.0,11077.0,2.15,0.3448275862068966
32,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8695652173913043,148.5,0.8,26.0,,0.5,,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,8.0,4.0,1.0,20181103003317.0,11077.0,2.15,0.3448275862068966
33,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,26.0,,0.5,,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,8.0,3.0,1.0,20181103003318.0,11094.0,2.15,0.3448275862068966
34,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,26.0,,0.5,,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,8.0,3.0,1.0,20181103003320.0,11094.0,2.15,0.3448275862068966
35,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8,148.5,0.8695652173913043,26.0,,0.5,,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,7.0,55.0,0.0,20181103003326.0,11094.0,2.15,0.3448275862068966
36,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8,148.5,0.8695652173913043,26.0,,0.5,,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,7.0,55.0,0.0,20181103003327.0,11094.0,2.15,0.3448275862068966
37,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8,148.5,0.8695652173913043,26.0,,0.5,,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,7.0,55.0,1.0,20181103003347.0,11094.0,2.15,0.3448275862068966
38,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,26.0,,0.5,,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,7.0,46.0,1.0,20181103003356.0,11094.0,2.15,0.3448275862068966
39,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.5,,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,7.0,38.0,1.0,20181103003404.0,11094.0,2.15,0.3448275862068966
40,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.5,,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,7.0,36.0,0.0,20181103003406.0,11094.0,2.15,0.3448275862068966
41,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.5,,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,7.0,36.0,0.0,20181103003409.0,11095.0,2.15,0.3448275862068966
42,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.5,,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,7.0,36.0,0.0,20181103003410.0,11077.0,2.15,0.3448275862068966
43,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.5,^,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,7.0,36.0,0.0,20181103003418.0,21086^11077,2.15,0.3448275862068966
44,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.5,^,,,3,13.0,12,,3,,4,1.0,0,,33.3,,38,36.0,0,1,7.0,36.0,1.0,20181103003428.0,21086^11077,2.15,0.3448275862068966
45,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.36363636363636365,^,,4.0,3,13.0,12,,3,,4,1.0,0,,33.3,,41,36.0,0,1,7.0,32.0,1.0,20181103003432.0,11075^21077,2.15,0.3448275862068966
46,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,146.5,0.8,146.5,0.8695652173913043,26.0,,0.36363636363636365,,,4.0,3,13.0,12,,3,,4,1.0,0,,33.3,,41,36.0,0,1,7.0,23.0,1.0,20181103003440.0,21077.0,2.15,0.3448275862068966
47,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,26.0,,0.36363636363636365,,,4.0,3,13.0,12,,3,,4,1.0,0,,33.3,,41,36.0,0,1,7.0,15.0,1.0,20181103003449.0,21077.0,2.15,0.3448275862068966
48,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,26.0,,0.36363636363636365,,,4.0,3,13.0,12,,3,,4,1.0,0,,33.3,,41,36.0,0,1,7.0,7.0,0.0,20181103003449.0,21077.0,2.15,0.3448275862068966
49,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,26.0,,0.36363636363636365,^,,4.0,3,13.0,12,,3,,4,2.0,0,,33.3,,41,36.0,0,1,7.0,7.0,0.0,20181103003459.0,11086^21077,2.15,0.3448275862068966
50,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,26.0,,0.38461538461538464,1:2,,4.0,3,13.0,12,,3,,4,2.0,0,,33.3,,41,36.0,0,1,7.0,7.0,0.0,20181103003507.0,21078.0,2.15,0.3448275862068966
51,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,25.0,,0.4,1:2^2:2,,4.0,3,13.0,12,,3,,4,2.0,0,,33.3,,41,37.0,0,1,7.0,7.0,0.0,20181103003523.0,21079^21078,2.15,0.3448275862068966
52,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,25.0,,0.4166666666666667,2:2^,,4.0,3,13.0,12,,3,,4,2.0,0,,33.3,,41,38.0,0,1,7.0,7.0,0.0,20181103003535.0,21079^11077,2.15,0.3448275862068966
53,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,25.0,,0.4166666666666667,,,4.0,3,13.0,12,,3,,4,2.0,0,,33.3,,41,38.0,0,1,7.0,7.0,0.0,20181103003536.0,11077.0,2.15,0.3448275862068966
54,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,25.0,,0.4166666666666667,,,4.0,3,13.0,12,,3,,4,2.0,0,,33.3,,41,38.0,0,1,7.0,7.0,1.0,20181103003541.0,11077.0,2.15,0.3448275862068966
55,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,25.0,,0.4166666666666667,,,4.0,3,13.0,12,,3,,4,2.0,0,,33.3,,41,38.0,0,1,7.0,2.0,0.0,20181103003548.0,11077.0,2.15,0.3448275862068966
56,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,25.0,,0.4166666666666667,^,,4.0,3,13.0,12,,3,,4,2.0,0,,33.3,,41,38.0,0,1,7.0,2.0,0.0,20181103003549.0,21086^11077,2.15,0.3448275862068966
57,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,25.0,,0.4166666666666667,^,,4.0,3,13.0,12,,3,,4,2.0,0,,33.3,,41,38.0,0,1,7.0,2.0,1.0,20181103003606.0,21086^11077,2.15,0.3448275862068966
58,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,149.5,0.8,149.5,0.8695652173913043,25.0,,0.4166666666666667,^,,4.0,3,13.0,12,,3,,4,2.0,0,,33.3,,41,38.0,0,1,6.0,53.0,1.0,20181103003615.0,21086^11077,2.15,0.3448275862068966
59,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,149.5,0.8,149.5,0.8695652173913043,25.0,,0.36363636363636365,^,,4.0,3,13.0,12,,3,,4,2.0,0,,33.3,,43,38.0,0,1,6.0,53.0,1.0,20181103003616.0,21086^11077,2.15,0.3448275862068966
60,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,149.5,0.8,149.5,0.8695652173913043,25.0,,0.36363636363636365,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,,43,38.0,0,1,6.0,53.0,1.0,20181103003616.0,21077.0,2.15,0.3448275862068966
61,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,149.5,0.8,149.5,0.8695652173913043,25.0,,0.35714285714285715,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,,43,38.0,0,1,6.0,44.0,1.0,20181103003624.0,21077.0,2.15,0.3448275862068966
62,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,149.5,0.8,149.5,0.8695652173913043,25.0,,0.35714285714285715,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,,43,38.0,0,1,6.0,36.0,1.0,20181103003633.0,21077.0,2.15,0.3448275862068966
63,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,149.5,0.8,149.5,0.8695652173913043,25.0,,0.4166666666666667,^,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,,43,40.0,0,1,6.0,35.0,1.0,20181103003633.0,21074^11077,2.15,0.3448275862068966
64,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,151.5,0.8333333333333334,151.5,0.8333333333333334,25.0,,0.4166666666666667,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,,43,40.0,0,1,6.0,26.0,1.0,20181103003642.0,11077.0,2.15,0.3448275862068966
65,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,151.5,0.8333333333333334,151.5,0.8333333333333334,25.0,,0.4166666666666667,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,,43,40.0,0,1,6.0,25.0,1.0,20181103003644.0,11094.0,2.15,0.3448275862068966
66,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,151.5,0.8333333333333334,151.5,0.8333333333333334,25.0,,0.5,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,,43,40.0,0,1,6.0,25.0,1.0,20181103003645.0,21077.0,2.15,0.3448275862068966
67,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,150.5,0.8695652173913043,150.5,0.8,25.0,,0.5,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,,43,40.0,0,1,6.0,19.0,1.0,20181103003650.0,21095.0,2.15,0.3448275862068966
68,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,150.5,0.8695652173913043,150.5,0.8,25.0,,0.5,^,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,,43,40.0,0,1,6.0,19.0,1.0,20181103003650.0,21077.0,2.15,0.3448275862068966
69,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,152.5,0.8695652173913043,152.5,0.8,25.0,,0.5,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,,43,40.0,0,1,6.0,9.0,1.0,20181103003700.0,11077.0,2.15,0.3448275862068966
70,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,152.5,0.8,152.5,0.8695652173913043,25.0,,0.5,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,,43,40.0,0,1,6.0,1.0,1.0,20181103003708.0,11077.0,2.15,0.3448275862068966
71,,,,3.0,3.5,0.8695652173913043,-3.5,0.8,152.5,0.8,152.5,0.8695652173913043,25.0,,0.5,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,46.0,46,42.0,0,1,5.0,59.0,1.0,20181103003710.0,21077.0,2.15,0.3448275862068966
72,,,,3.0,3.5,0.8695652173913043,-3.5,0.8,154.5,0.8,154.5,0.8695652173913043,25.0,,0.5,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,46.0,46,42.0,0,1,5.0,50.0,1.0,20181103003719.0,21077.0,2.15,0.3448275862068966
73,,,,3.0,3.5,0.8695652173913043,-3.5,0.8,153.5,0.8695652173913043,153.5,0.8,25.0,,0.5,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,46.0,46,42.0,0,1,5.0,42.0,1.0,20181103003727.0,21077.0,2.15,0.3448275862068966
74,,,,3.0,3.5,0.8695652173913043,-3.5,0.8,153.5,0.8695652173913043,153.5,0.8,25.0,,0.5,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,46.0,46,42.0,0,1,5.0,38.0,1.0,20181103003731.0,21094.0,2.15,0.3448275862068966
75,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,153.5,0.8695652173913043,153.5,0.8,25.0,,0.5,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,46.0,46,42.0,0,1,5.0,37.0,1.0,20181103003732.0,21094.0,2.15,0.3448275862068966
76,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,153.5,0.8695652173913043,153.5,0.8,25.0,,0.4166666666666667,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,46.0,46,42.0,0,1,5.0,35.0,1.0,20181103003734.0,21077.0,2.15,0.3448275862068966
77,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,153.5,0.8695652173913043,153.5,0.8,25.0,,0.4166666666666667,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,46.0,46,42.0,0,1,5.0,29.0,0.0,20181103003739.0,21077.0,2.15,0.3448275862068966
78,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,153.5,0.8695652173913043,153.5,0.8,25.0,,0.4166666666666667,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,46.0,46,42.0,0,1,5.0,29.0,1.0,20181103003752.0,21077.0,2.15,0.3448275862068966
79,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,153.5,0.8,153.5,0.8695652173913043,25.0,,0.4166666666666667,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,46.0,46,42.0,0,1,5.0,20.0,1.0,20181103003801.0,21077.0,2.15,0.3448275862068966
80,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,153.5,0.8,153.5,0.8695652173913043,25.0,,0.4166666666666667,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,46.0,46,42.0,0,1,5.0,20.0,1.0,20181103003802.0,21095.0,2.15,0.3448275862068966
81,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,153.5,0.8,153.5,0.8695652173913043,25.0,,0.4166666666666667,^,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,46.0,46,42.0,0,1,5.0,20.0,1.0,20181103003802.0,21077.0,2.15,0.3448275862068966
82,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,153.5,0.8,153.5,0.8695652173913043,25.0,,0.4166666666666667,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,46.0,46,42.0,0,1,5.0,20.0,1.0,20181103003808.0,11077.0,2.15,0.3448275862068966
83,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,153.5,0.8333333333333334,153.5,0.8333333333333334,25.0,,0.4166666666666667,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,46.0,46,42.0,0,1,5.0,5.0,1.0,20181103003816.0,11077.0,2.15,0.3448275862068966
84,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,152.5,0.8333333333333334,152.5,0.8333333333333334,25.0,,0.4166666666666667,,,4.0,3,14.0,12,,3,,4,2.0,0,,33.3,46.0,46,42.0,0,1,4.0,57.0,1.0,20181103003825.0,11077.0,2.15,0.3448275862068966
85,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,152.5,0.8333333333333334,152.5,0.8333333333333334,25.0,,0.4166666666666667,^,,4.0,3,15.0,12,,3,,4,2.0,0,,33.3,48.0,48,44.0,0,1,4.0,55.0,1.0,20181103003826.0,11074^21077,2.15,0.3448275862068966
86,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,152.5,0.8333333333333334,152.5,0.8333333333333334,25.0,,0.4166666666666667,^,,4.0,3,15.0,12,,3,,4,2.0,0,,33.3,48.0,48,44.0,0,1,4.0,55.0,1.0,20181103003827.0,11074^21077,2.15,0.3448275862068966
87,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,152.5,0.8,152.5,0.8695652173913043,25.0,,0.4166666666666667,,,4.0,3,15.0,12,,3,,4,2.0,0,,33.3,48.0,48,44.0,0,1,4.0,46.0,1.0,20181103003835.0,21077.0,2.15,0.3448275862068966
88,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,152.5,0.8,152.5,0.8695652173913043,25.0,,0.4166666666666667,,,4.0,3,15.0,12,,3,,4,2.0,0,,33.3,48.0,48,44.0,0,1,4.0,45.0,0.0,20181103003836.0,21077.0,2.15,0.3448275862068966
89,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,152.5,0.8,152.5,0.8695652173913043,25.0,,0.4166666666666667,^,,4.0,3,15.0,12,,3,,4,3.0,0,,33.3,48.0,48,44.0,0,1,4.0,45.0,0.0,20181103003837.0,11086^21077,2.15,0.3448275862068966
90,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,152.5,0.8,152.5,0.8695652173913043,25.0,,0.43478260869565216,^,,4.0,3,15.0,12,,3,,4,3.0,0,,33.3,48.0,48,44.0,0,1,4.0,45.0,0.0,20181103003838.0,11086^21077,2.15,0.3448275862068966
91,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,152.5,0.8,152.5,0.8695652173913043,25.0,,0.43478260869565216,1:2,,4.0,3,15.0,12,,3,,4,3.0,0,,33.3,48.0,48,44.0,0,1,4.0,45.0,0.0,20181103003838.0,21078.0,2.15,0.3448275862068966
92,,,,3.0,4.5,0.8695652173913043,-4.5,0.8,152.5,0.8,152.5,0.8695652173913043,25.0,,0.4,2:2^,,4.0,3,15.0,12,,3,,4,3.0,0,,33.3,48.0,48,44.0,0,1,4.0,45.0,1.0,20181103004007.0,21080^11077,2.15,0.3448275862068966
