,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,OD,PG,PI,S1,S1_a,S2,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,,,,3,,12,,3,,4,,0,,33.3,,36,,0,1,10.0,0.0,0,20181103001330,01083,2.15,0.3448275862068966
1,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,26.0,,,,,,3,,12,,3,,4,,0,,33.3,,36,,0,1,10.0,0.0,1.0,20181103003025.0,01083,2.15,0.3448275862068966
2,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8695652173913043,148.5,0.8,26.0,,,^,,,3,,12,,3,,4,,0,,33.3,,36,,0,1,9.0,51.0,1.0,20181103003033.0,01089^21077,2.15,0.3448275862068966
3,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,26.0,,,^,,,3,,12,,3,,4,,0,,33.3,,36,,0,1,9.0,43.0,1.0,20181103003041.0,01089^21077,2.15,0.3448275862068966
4,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8,148.5,0.8695652173913043,26.0,,,,,,3,,12,,3,,4,,0,,33.3,,36,,0,1,9.0,41.0,1.0,20181103003044.0,21094.0,2.15,0.3448275862068966
5,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8,148.5,0.8695652173913043,26.0,,0.3333333333333333,,,,3,,12,,3,,4,,0,,33.3,,36,,0,1,9.0,41.0,1.0,20181103003045.0,11077.0,2.15,0.3448275862068966
6,,,,3.0,5.5,0.8,-5.5,0.8695652173913043,148.5,0.8,148.5,0.8695652173913043,26.0,,0.3333333333333333,,,,3,,12,,3,,4,,0,,33.3,,36,,0,1,9.0,41.0,1.0,20181103003046.0,11077.0,2.15,0.3448275862068966
7,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,147.5,0.8333333333333334,147.5,0.8333333333333334,26.0,,0.3333333333333333,,,,3,,12,,3,,4,,0,,33.3,,36,,0,1,9.0,32.0,1.0,20181103003054.0,11077.0,2.15,0.3448275862068966
8,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.3333333333333333,,,,3,,12,,3,,4,,0,,33.3,,36,,0,1,9.0,24.0,1.0,20181103003102.0,11077.0,2.15,0.3448275862068966
9,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.25,^,,,3,13.0,12,,3,,4,,0,,33.3,,38,31.0,0,1,9.0,22.0,1.0,20181103003103.0,11074^21077,2.15,0.3448275862068966
10,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.25,,,,3,13.0,12,,3,,4,,0,,33.3,,38,31.0,0,1,9.0,22.0,1.0,20181103003104.0,21077.0,2.15,0.3448275862068966
11,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,26.0,,0.25,,,,3,13.0,12,,3,,4,,0,,33.3,,38,31.0,0,1,9.0,13.0,1.0,20181103003112.0,21077.0,2.15,0.3448275862068966
12,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,147.5,0.8333333333333334,147.5,0.8333333333333334,26.0,,0.25,,,,3,13.0,12,,3,,4,,0,,33.3,,38,31.0,0,1,9.0,5.0,1.0,20181103003120.0,21077.0,2.15,0.3448275862068966
13,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,147.5,0.8,147.5,0.8695652173913043,26.0,,0.25,,,,3,13.0,12,,3,,4,,0,,33.3,,38,31.0,0,1,9.0,1.0,0.0,20181103003124.0,21077.0,2.15,0.3448275862068966
14,,,,3.0,5.5,0.8333333333333334,-5.5,0.8333333333333334,147.5,0.8,147.5,0.8695652173913043,26.0,,0.23529411764705882,,,,3,13.0,12,,3,,4,,0,,33.3,,38,31.0,0,1,9.0,1.0,0.0,20181103003125.0,11077.0,2.15,0.3448275862068966
