,AM,AS,CB,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
0,,,,,,1.5,0.77,-1.5,0.91,169.5,0.83,169.5,0.83,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,19000101000000,,,0.83,0.83
1,,,,,,1.5,0.77,-1.5,0.91,169.5,0.83,169.5,0.83,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721090202.0,,,0.83,0.83
2,,,SGTHUS,,,1.5,0.77,-1.5,0.91,169.5,0.83,169.5,0.83,,,9481210.0,,,,,,,,,,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180721090202.0,,,0.83,0.83
3,,,SGTHUS,,,1.5,0.77,-1.5,0.91,169.5,0.83,169.5,0.83,,,9481210.0,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,59.0,1.0,20180721090203.0,1087.0,,0.83,0.83
4,,,SGTHUS,,,1.5,0.77,-1.5,0.91,168.5,0.83,169.5,0.83,168.5,,9481210.0,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,59.0,1.0,20180721090203.0,21077.0,,0.83,0.83
5,,,SGTHUS,,,1.5,0.77,-1.5,0.91,168.5,0.83,168.5,0.83,168.5,,9481210.0,,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,51.0,1.0,20180721090211.0,21077.0,,0.83,0.83
6,,,SGTHUS,,,1.5,0.77,-1.5,0.91,171.5,0.8,168.5,0.87,171.5,,9481210.0,0.71,,,,,,,,,,,,0.0,0.0,1,9.0,1~GD,51.0,1.0,20180721090211.0,21077.0,,0.83,0.83
7,,,SGTHUS,,,1.5,0.77,-1.5,0.91,171.5,0.8,171.5,0.87,171.5,,9481210.0,1.0,,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,49.0,1.0,20180721090214.0,21077.0,,0.83,0.83
8,,,SGTHUS,,,-1.5,0.83,1.5,0.91,171.5,0.8,171.5,0.87,-1.5,,9481210.0,1.0,,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,49.0,1.0,20180721090214.0,21077.0,,0.83,0.83
9,,,SGTHUS,,,-1.5,0.83,1.5,0.83,171.5,0.87,171.5,0.87,1.5,,9481210.0,1.0,^,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,49.0,1.0,20180721090214.0,21074^11077,,0.83,0.83
10,,,SGTHUS,,,-1.5,0.83,1.5,0.83,170.5,0.87,171.5,0.8,170.5,,9481210.0,1.0,^,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,49.0,1.0,20180721090214.0,21074^11077,,0.83,0.83
11,,,SGTHUS,,,-1.5,0.83,1.5,0.83,170.5,0.87,170.5,0.8,170.5,,9481210.0,1.0,^,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,48.0,1.0,20180721090214.0,21074^11077,,0.83,0.83
12,,,SGTHUS,,,-1.5,0.83,1.5,0.83,170.5,0.83,170.5,0.83,170.5,,9481210.0,1.0,,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,48.0,1.0,20180721090218.0,11077.0,,0.83,0.83
13,,,SGTHUS,,,-1.5,0.83,1.5,0.83,170.5,0.83,170.5,0.83,170.5,,9481210.0,1.0,,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,44.0,0.0,20180721090218.0,11077.0,,0.83,0.83
14,,,SGTHUS,,,-1.5,0.83,1.5,0.83,170.5,0.83,170.5,0.83,170.5,,9481210.0,1.0,,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,44.0,0.0,20180721090219.0,11077.0,,0.83,0.83
15,,,SGTHUS,,,-1.5,0.83,1.5,0.83,170.5,0.83,170.5,0.83,170.5,,9481210.0,1.0,,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,44.0,0.0,20180721090219.0,11077.0,,0.83,0.83
16,,,SGTHUS,,,-1.5,0.83,1.5,0.83,170.5,0.83,170.5,0.83,170.5,,9481210.0,1.0,,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,46.0,0.0,20180721090220.0,11077.0,,0.83,0.83
17,,,SGTHUS,,,-1.5,0.83,1.5,0.83,171.5,0.83,170.5,0.83,171.5,,9481210.0,0.66,^,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,46.0,0.0,20180721090220.0,11086^21077,,0.83,0.83
