,AM,AS,CB,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
18,,,SGTHUS,,,-1.5,0.83,1.5,0.83,171.5,0.83,171.5,0.83,171.5,,9481210.0,1.1,^,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,46.0,0.0,20180721090224.0,11086^21077,,0.83,0.83
19,,,SGTHUS,,,-2.5,0.83,2.5,0.83,171.5,0.83,171.5,0.83,-2.5,,9481210.0,1.1,^,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,46.0,0.0,20180721090224.0,11086^21077,,0.83,0.83
20,,,SGTHUS,,,-2.5,0.83,2.5,0.83,171.5,0.8,171.5,0.83,2.5,,9481210.0,1.1,1:1,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,46.0,0.0,20180721090224.0,21078.0,,0.83,0.83
21,,,SGTHUS,,,-2.5,0.83,2.5,0.83,172.5,0.8,171.5,0.87,172.5,,9481210.0,1.1,1:1,,,,,,,,,0.0,2.0,0.0,0.0,1,9.0,1~GD,46.0,0.0,20180721090224.0,21078.0,,0.83,0.83
22,,,SGTHUS,,,-2.5,0.83,2.5,0.83,172.5,0.8,172.5,0.87,172.5,,9481210.0,1.1,1:1,,,,,,,,,0.0,3.0,0.0,0.0,1,9.0,1~GD,46.0,0.0,20180721090231.0,21078.0,,0.83,0.83
23,,,SGTHUS,,,-2.5,0.83,2.5,0.83,172.5,0.8,172.5,0.87,172.5,,9481210.0,1.1,1:1^,,,,,,,,,0.0,3.0,0.0,0.0,1,9.0,1~GD,46.0,0.0,20180721090231.0,21079^11077,,0.83,0.83
24,,,SGTHUS,,,-2.5,0.83,2.5,0.83,172.5,0.8,172.5,0.87,172.5,,9481210.0,1.1,1:1^,,,,,,,,,0.0,3.0,0.0,0.0,1,9.0,1~GD,46.0,1.0,20180721090233.0,21079^11077,,0.83,0.83
25,,,SGTHUS,,,-2.5,0.83,2.5,0.83,171.5,0.83,172.5,0.83,171.5,,9481210.0,1.1,,,,,,,,,,0.0,3.0,0.0,0.0,1,9.0,1~GD,46.0,1.0,20180721090233.0,11077.0,,0.83,0.83
26,,,SGTHUS,,,-2.5,0.83,2.5,0.83,171.5,0.83,171.5,0.83,171.5,,9481210.0,1.1,,,,,,,,,,0.0,3.0,0.0,0.0,1,9.0,1~GD,38.0,1.0,20180721090241.0,11077.0,,0.83,0.83
27,,,SGTHUS,,,-2.5,0.83,2.5,0.83,170.5,0.83,171.5,0.83,170.5,,9481210.0,1.1,,,,,,,,,,0.0,3.0,0.0,0.0,1,9.0,1~GD,38.0,1.0,20180721090241.0,11077.0,,0.83,0.83
28,,,SGTHUS,,,-2.5,0.83,2.5,0.83,170.5,0.83,170.5,0.83,170.5,,9481210.0,1.1,,,,,,,,,,0.0,3.0,0.0,0.0,1,9.0,1~GD,30.0,1.0,20180721090250.0,11077.0,,0.83,0.83
29,,,SGTHUS,,,-2.5,0.83,2.5,0.83,170.5,0.83,170.5,0.83,170.5,,9481210.0,1.1,,,,,,,,,,0.0,3.0,0.0,0.0,1,9.0,1~GD,30.0,1.0,20180721090250.0,11077.0,,0.83,0.83
30,,,SGTHUS,,,-2.5,0.83,2.5,0.83,170.5,0.83,170.5,0.83,170.5,,9481210.0,1.1,,,,,,,,,,0.0,3.0,0.0,0.0,1,9.0,1~GD,27.0,1.0,20180721090256.0,11077.0,,0.83,0.83
31,,,SGTHUS,,,-2.5,0.83,2.5,0.83,172.5,0.83,170.5,0.83,172.5,,9481210.0,0.8,,,,,,,,,,0.0,3.0,0.0,0.0,1,9.0,1~GD,27.0,1.0,20180721090256.0,11077.0,,0.83,0.83
32,,,SGTHUS,,,-2.5,0.83,2.5,0.83,172.5,0.83,172.5,0.83,172.5,,9481210.0,0.87,,,,,,,,,,2.0,3.0,0.0,0.0,1,9.0,1~GD,25.0,1.0,20180721090259.0,11077.0,,0.83,0.83
33,,,SGTHUS,,,-1.5,0.87,1.5,0.83,172.5,0.83,172.5,0.83,-1.5,,9481210.0,0.87,,,,,,,,,,2.0,3.0,0.0,0.0,1,9.0,1~GD,25.0,1.0,20180721090259.0,11077.0,,0.83,0.83
34,,,SGTHUS,,,-1.5,0.87,1.5,0.8,172.5,0.83,172.5,0.83,1.5,,9481210.0,0.87,^,,,,,,,,,2.0,3.0,0.0,0.0,1,9.0,1~GD,23.0,1.0,20180721090300.0,11074^21077,,0.83,0.83
35,,,SGTHUS,,,-1.5,0.87,1.5,0.8,171.5,0.83,172.5,0.83,171.5,,9481210.0,0.87,,,,,,,,,,2.0,3.0,0.0,0.0,1,9.0,1~GD,23.0,1.0,20180721090300.0,21077.0,,0.83,0.83
36,,,SGTHUS,,,-1.5,0.87,1.5,0.8,171.5,0.83,171.5,0.83,171.5,,9481210.0,0.87,,,,,,,,,,2.0,3.0,0.0,0.0,1,9.0,1~GD,15.0,1.0,20180721090308.0,21077.0,,0.83,0.83
37,,,SGTHUS,,,-1.5,0.87,1.5,0.8,171.5,0.83,171.5,0.83,171.5,,9481210.0,0.87,,,,,,,,,,2.0,3.0,0.0,0.0,1,9.0,1~GD,15.0,1.0,20180721090308.0,21077.0,,0.83,0.83
38,,,SGTHUS,,,-1.5,0.87,1.5,0.8,171.5,0.83,171.5,0.83,171.5,,9481210.0,0.87,,,,,,,,,,2.0,3.0,0.0,0.0,1,9.0,1~GD,7.0,1.0,20180721090316.0,21077.0,,0.83,0.83
39,,,SGTHUS,,,-1.5,0.87,1.5,0.8,173.5,0.83,171.5,0.83,173.5,,9481210.0,0.66,,,,,,,,,,2.0,3.0,0.0,0.0,1,9.0,1~GD,7.0,1.0,20180721090316.0,21077.0,,0.83,0.83
40,,,SGTHUS,,,-1.5,0.87,1.5,0.8,173.5,0.83,173.5,0.83,173.5,,9481210.0,1.1,,,,,,,,,,2.0,5.0,0.0,0.0,1,9.0,1~GD,5.0,1.0,20180721090317.0,21077.0,,0.83,0.83
41,,,SGTHUS,,,-2.5,0.83,2.5,0.8,173.5,0.83,173.5,0.83,-2.5,,9481210.0,1.1,,,,,,,,,,2.0,5.0,0.0,0.0,1,9.0,1~GD,5.0,1.0,20180721090317.0,21077.0,,0.83,0.83
42,,,SGTHUS,,,-2.5,0.83,2.5,0.83,173.5,0.83,173.5,0.83,2.5,,9481210.0,1.1,^,,,,,,,,,2.0,5.0,0.0,0.0,1,9.0,1~GD,4.0,1.0,20180721090318.0,21074^11077,,0.83,0.83
43,,,SGTHUS,,,-2.5,0.83,2.5,0.83,172.5,0.83,173.5,0.83,172.5,,9481210.0,1.1,,,,,,,,,,2.0,5.0,0.0,0.0,1,9.0,1~GD,4.0,1.0,20180721090318.0,11077.0,,0.83,0.83
44,,,SGTHUS,,,-2.5,0.83,2.5,0.83,172.5,0.83,172.5,0.83,172.5,,9481210.0,1.1,,,,,,,,,,2.0,5.0,0.0,0.0,1,8.0,1~GD,56.0,1.0,20180721090326.0,11077.0,,0.83,0.83
45,,,SGTHUS,,,-2.5,0.83,2.5,0.83,176.5,0.83,172.5,0.83,176.5,,9481210.0,0.83,,,,,,,,,,2.0,5.0,0.0,0.0,1,8.0,1~GD,56.0,1.0,20180721090326.0,11077.0,,0.83,0.83
46,,,SGTHUS,,,-2.5,0.83,2.5,0.83,176.5,0.83,176.5,0.83,176.5,,9481210.0,0.83,,,,,,,,,,5.0,5.0,0.0,0.0,1,8.0,1~GD,53.0,1.0,20180721090332.0,11077.0,,0.83,0.83
47,,,SGTHUS,,,1.5,0.77,-1.5,0.83,176.5,0.83,176.5,0.83,1.5,,9481210.0,0.83,,,,,,,,,,5.0,5.0,0.0,0.0,1,8.0,1~GD,53.0,1.0,20180721090332.0,11077.0,,0.83,0.83
48,,,SGTHUS,,,1.5,0.77,-1.5,0.91,176.5,0.8,176.5,0.87,-1.5,,9481210.0,0.83,^,,,,,,,,,5.0,5.0,0.0,0.0,1,8.0,1~GD,52.0,1.0,20180721090333.0,11075^21077,,0.83,0.83
49,,,SGTHUS,,,1.5,0.77,-1.5,0.91,175.5,0.83,176.5,0.83,175.5,,9481210.0,0.83,,,,,,,,,,5.0,5.0,0.0,0.0,1,8.0,1~GD,52.0,1.0,20180721090333.0,21077.0,,0.83,0.83
50,,,SGTHUS,,,1.5,0.77,-1.5,0.91,175.5,0.83,175.5,0.83,175.5,,9481210.0,0.83,,,,,,,,,,5.0,5.0,0.0,0.0,1,8.0,1~GD,44.0,1.0,20180721090341.0,21077.0,,0.83,0.83
51,,,SGTHUS,,,1.5,0.77,-1.5,0.91,175.5,0.83,175.5,0.83,175.5,,9481210.0,0.83,,,,,,,,,,5.0,5.0,0.0,0.0,1,8.0,1~GD,44.0,1.0,20180721090341.0,21077.0,,0.83,0.83
52,,,SGTHUS,,,1.5,0.77,-1.5,0.91,175.5,0.83,175.5,0.83,175.5,,9481210.0,0.83,,,,,,,,,,5.0,5.0,0.0,0.0,1,8.0,1~GD,42.0,1.0,20180721090343.0,21077.0,,0.83,0.83
53,,,SGTHUS,,,1.5,0.77,-1.5,0.91,176.5,0.87,175.5,0.8,176.5,,9481210.0,1.1,,,,,,,,,,5.0,5.0,0.0,0.0,1,8.0,1~GD,42.0,1.0,20180721090343.0,11077.0,,0.83,0.83
54,,,SGTHUS,,,1.5,0.77,-1.5,0.91,176.5,0.87,176.5,0.8,176.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,34.0,1.0,20180721090351.0,11077.0,,0.83,0.83
55,,,SGTHUS,,,2.5,0.8,-2.5,0.91,176.5,0.87,176.5,0.8,2.5,,9481210.0,0.66,^,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,34.0,1.0,20180721090351.0,11074^21077,,0.83,0.83
56,,,SGTHUS,,,2.5,0.8,-2.5,0.87,176.5,0.83,176.5,0.83,-2.5,,9481210.0,0.66,^,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,33.0,1.0,20180721090352.0,11074^21077,,0.83,0.83
57,,,SGTHUS,,,2.5,0.8,-2.5,0.87,176.5,0.83,176.5,0.83,-2.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,33.0,1.0,20180721090352.0,21077.0,,0.83,0.83
58,,,SGTHUS,,,2.5,0.8,-2.5,0.87,176.5,0.83,176.5,0.83,-2.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,25.0,1.0,20180721090400.0,21077.0,,0.83,0.83
59,,,SGTHUS,,,2.5,0.8,-2.5,0.87,175.5,0.83,176.5,0.83,175.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,25.0,1.0,20180721090400.0,21077.0,,0.83,0.83
60,,,SGTHUS,,,2.5,0.8,-2.5,0.87,175.5,0.83,175.5,0.83,175.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,17.0,1.0,20180721090408.0,21077.0,,0.83,0.83
61,,,SGTHUS,,,2.5,0.8,-2.5,0.87,175.5,0.83,175.5,0.83,175.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,17.0,1.0,20180721090408.0,21077.0,,0.83,0.83
62,,,SGTHUS,,,2.5,0.8,-2.5,0.87,175.5,0.83,175.5,0.83,175.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,14.0,1.0,20180721090412.0,21077.0,,0.83,0.83
63,,,SGTHUS,,,2.5,0.83,-2.5,0.83,174.5,0.83,175.5,0.83,174.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,14.0,1.0,20180721090412.0,11077.0,,0.83,0.83
64,,,SGTHUS,,,2.5,0.83,-2.5,0.83,174.5,0.83,174.5,0.83,174.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,9.0,0.0,20180721090417.0,11077.0,,0.83,0.83
65,,,SGTHUS,,,2.5,0.83,-2.5,0.83,174.5,0.83,174.5,0.83,174.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,9.0,0.0,20180721090417.0,11077.0,,0.83,0.83
66,,,SGTHUS,,,2.5,0.83,-2.5,0.83,174.5,0.83,174.5,0.83,174.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,9.0,0.0,20180721090418.0,11077.0,,0.83,0.83
67,,,SGTHUS,,,2.5,0.83,-2.5,0.83,174.5,0.83,174.5,0.83,174.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,9.0,0.0,20180721090418.0,11077.0,,0.83,0.83
68,,,SGTHUS,,,2.5,0.83,-2.5,0.83,174.5,0.83,174.5,0.83,174.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,9.0,1.0,20180721090443.0,11077.0,,0.83,0.83
69,,,SGTHUS,,,2.5,0.83,-2.5,0.83,174.5,0.83,174.5,0.83,174.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,8.0,1.0,20180721090443.0,11077.0,,0.83,0.83
70,,,SGTHUS,,,2.5,0.83,-2.5,0.83,174.5,0.83,174.5,0.83,174.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,8.0,1.0,20180721090444.0,11077.0,,0.83,0.83
71,,,SGTHUS,,,2.5,0.83,-2.5,0.83,174.5,0.83,174.5,0.83,174.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,7.0,1.0,20180721090444.0,11077.0,,0.83,0.83
72,,,SGTHUS,,,2.5,0.83,-2.5,0.83,173.5,0.83,174.5,0.83,173.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,8.0,1~GD,7.0,1.0,20180721090444.0,11077.0,,0.83,0.83
73,,,SGTHUS,,,2.5,0.83,-2.5,0.83,173.5,0.83,173.5,0.83,173.5,,9481210.0,0.66,,,,,,,,,,7.0,5.0,0.0,0.0,1,7.0,1~GD,59.0,1.0,20180721090452.0,11077.0,,0.83,0.83
74,,,SGTHUS,,,2.5,0.83,-2.5,0.83,173.5,0.83,173.5,0.83,173.5,,9481210.0,1.0,,,,,,,,,,7.0,5.0,0.0,0.0,1,7.0,1~GD,59.0,1.0,20180721090452.0,11077.0,,0.83,0.83
75,,,SGTHUS,,,2.5,0.83,-2.5,0.83,173.5,0.83,173.5,0.83,173.5,,9481210.0,0.71,,,,,,,,,,7.0,5.0,0.0,0.0,1,7.0,1~GD,58.0,1.0,20180721090453.0,11077.0,,0.83,0.83
76,,,SGTHUS,,,2.5,0.8,-2.5,0.87,173.5,0.83,173.5,0.83,173.5,,9481210.0,0.71,,,,,,,,,,7.0,5.0,0.0,0.0,1,7.0,1~GD,58.0,1.0,20180721090453.0,21077.0,,0.83,0.83
77,,,SGTHUS,,,2.5,0.8,-2.5,0.87,173.5,0.83,173.5,0.83,173.5,,9481210.0,0.71,,,,,,,,,,7.0,5.0,0.0,0.0,1,7.0,1~GD,58.0,1.0,20180721090454.0,21077.0,,0.83,0.83
78,,,SGTHUS,,,2.5,0.8,-2.5,0.87,173.5,0.8,173.5,0.87,173.5,,9481210.0,0.71,,,,,,,,,,7.0,5.0,0.0,0.0,1,7.0,1~GD,58.0,1.0,20180721090454.0,21077.0,,0.83,0.83
79,,,SGTHUS,,,2.5,0.8,-2.5,0.87,173.5,0.8,173.5,0.87,173.5,,9481210.0,0.71,,,,,,,,,,7.0,5.0,0.0,0.0,1,7.0,1~GD,50.0,1.0,20180721090502.0,21077.0,,0.83,0.83
80,,,SGTHUS,,,2.5,0.8,-2.5,0.87,174.5,0.83,173.5,0.83,174.5,,9481210.0,0.83,,,,,,,,,,7.0,5.0,0.0,0.0,1,7.0,1~GD,50.0,1.0,20180721090502.0,21077.0,,0.83,0.83
81,,,SGTHUS,,,2.5,0.8,-2.5,0.87,174.5,0.83,174.5,0.83,174.5,,9481210.0,0.83,,,,,,,,,,7.0,7.0,0.0,0.0,1,7.0,1~GD,42.0,1.0,20180721090509.0,21077.0,,0.83,0.83
82,,,SGTHUS,,,1.5,0.77,-1.5,0.87,174.5,0.83,174.5,0.83,1.5,,9481210.0,0.83,,,,,,,,,,7.0,7.0,0.0,0.0,1,7.0,1~GD,42.0,1.0,20180721090509.0,21077.0,,0.83,0.83
83,,,SGTHUS,,,1.5,0.77,-1.5,0.91,174.5,0.83,174.5,0.83,-1.5,,9481210.0,0.83,^,,,,,,,,,7.0,7.0,0.0,0.0,1,7.0,1~GD,41.0,1.0,20180721090510.0,21074^11077,,0.83,0.83
84,,,SGTHUS,,,1.5,0.77,-1.5,0.91,174.5,0.8,174.5,0.87,-1.5,,9481210.0,0.83,,,,,,,,,,7.0,7.0,0.0,0.0,1,7.0,1~GD,41.0,1.0,20180721090510.0,11077.0,,0.83,0.83
85,,,SGTHUS,,,1.5,0.77,-1.5,0.91,174.5,0.8,174.5,0.87,-1.5,,9481210.0,0.83,,,,,,,,,,7.0,7.0,0.0,0.0,1,7.0,1~GD,33.0,1.0,20180721090518.0,11077.0,,0.83,0.83
86,,,SGTHUS,,,1.5,0.77,-1.5,0.91,173.5,0.83,174.5,0.87,173.5,,9481210.0,0.83,,,,,,,,,,7.0,7.0,0.0,0.0,1,7.0,1~GD,33.0,1.0,20180721090518.0,11077.0,,0.83,0.83
87,,,SGTHUS,,,1.5,0.77,-1.5,0.91,173.5,0.83,173.5,0.83,173.5,,9481210.0,0.83,,,,,,,,,,7.0,7.0,0.0,0.0,1,7.0,1~GD,25.0,1.0,20180721090526.0,11077.0,,0.83,0.83
88,,,SGTHUS,,,1.5,0.77,-1.5,0.91,173.5,0.83,173.5,0.83,173.5,,9481210.0,0.83,,,,,,,,,,7.0,7.0,0.0,0.0,1,7.0,1~GD,25.0,1.0,20180721090526.0,11077.0,,0.83,0.83
89,,,SGTHUS,,,1.5,0.77,-1.5,0.91,173.5,0.83,173.5,0.83,173.5,,9481210.0,0.83,,,,,,,,,,7.0,7.0,0.0,0.0,1,7.0,1~GD,25.0,1.0,20180721090527.0,11077.0,,0.83,0.83
90,,,SGTHUS,,,1.5,0.77,-1.5,0.91,175.5,0.83,173.5,0.83,175.5,,9481210.0,1.0,,,,,,,,,,7.0,7.0,0.0,0.0,1,7.0,1~GD,25.0,1.0,20180721090527.0,11077.0,,0.83,0.83
91,,,SGTHUS,,,1.5,0.77,-1.5,0.91,175.5,0.83,175.5,0.83,175.5,,9481210.0,0.71,,,,,,,,,,9.0,7.0,0.0,0.0,1,7.0,1~GD,20.0,1.0,20180721090531.0,11077.0,,0.83,0.83
92,,,SGTHUS,,,2.5,0.8,-2.5,0.91,175.5,0.83,175.5,0.83,2.5,,9481210.0,0.71,,,,,,,,,,9.0,7.0,0.0,0.0,1,7.0,1~GD,20.0,1.0,20180721090531.0,11077.0,,0.83,0.83
93,,,SGTHUS,,,2.5,0.8,-2.5,0.87,175.5,0.83,175.5,0.83,-2.5,,9481210.0,0.71,^,,,,,,,,,9.0,7.0,0.0,0.0,1,7.0,1~GD,19.0,1.0,20180721090532.0,11074^21077,,0.83,0.83
94,,,SGTHUS,,,2.5,0.8,-2.5,0.87,174.5,0.83,175.5,0.83,174.5,,9481210.0,0.71,,,,,,,,,,9.0,7.0,0.0,0.0,1,7.0,1~GD,19.0,1.0,20180721090532.0,21077.0,,0.83,0.83
95,,,SGTHUS,,,2.5,0.8,-2.5,0.87,174.5,0.83,174.5,0.83,174.5,,9481210.0,0.71,,,,,,,,,,9.0,7.0,0.0,0.0,1,7.0,1~GD,11.0,1.0,20180721090540.0,21077.0,,0.83,0.83
96,,,SGTHUS,,,2.5,0.8,-2.5,0.87,174.5,0.8,174.5,0.87,174.5,,9481210.0,1.1,,,,,,,,,,9.0,7.0,0.0,0.0,1,7.0,1~GD,11.0,1.0,20180721090540.0,21077.0,,0.83,0.83
97,,,SGTHUS,,,2.5,0.8,-2.5,0.87,174.5,0.8,174.5,0.87,174.5,,9481210.0,0.66,,,,,,,,,,9.0,7.0,0.0,0.0,1,7.0,1~GD,5.0,1.0,20180721090547.0,21077.0,,0.83,0.83
98,,,SGTHUS,,,2.5,0.83,-2.5,0.83,173.5,0.83,174.5,0.83,173.5,,9481210.0,0.66,,,,,,,,,,9.0,7.0,0.0,0.0,1,7.0,1~GD,5.0,1.0,20180721090547.0,11077.0,,0.83,0.83
99,,,SGTHUS,,,2.5,0.83,-2.5,0.83,173.5,0.83,173.5,0.83,173.5,,9481210.0,0.66,,,,,,,,,,9.0,7.0,0.0,0.0,1,6.0,1~GD,57.0,1.0,20180721090555.0,11077.0,,0.83,0.83
100,,,SGTHUS,,,2.5,0.83,-2.5,0.83,173.5,0.8,173.5,0.87,173.5,,9481210.0,1.0,,,,,,,,,,9.0,7.0,0.0,0.0,1,6.0,1~GD,57.0,1.0,20180721090555.0,11077.0,,0.83,0.83
101,,,SGTHUS,,,2.5,0.83,-2.5,0.83,173.5,0.8,173.5,0.87,173.5,,9481210.0,0.71,,,,,,,,,,9.0,7.0,0.0,0.0,1,6.0,1~GD,54.0,1.0,20180721090558.0,11077.0,,0.83,0.83
102,,,SGTHUS,,,2.5,0.8,-2.5,0.87,172.5,0.83,173.5,0.83,172.5,,9481210.0,0.71,,,,,,,,,,9.0,7.0,0.0,0.0,1,6.0,1~GD,54.0,1.0,20180721090558.0,21077.0,,0.83,0.83
103,,,SGTHUS,,,2.5,0.8,-2.5,0.87,172.5,0.83,172.5,0.83,172.5,,9481210.0,0.71,,,,,,,,,,9.0,7.0,0.0,0.0,1,6.0,1~GD,46.0,1.0,20180721090606.0,21077.0,,0.83,0.83
104,,,SGTHUS,,,2.5,0.8,-2.5,0.87,172.5,0.83,172.5,0.83,172.5,,9481210.0,0.71,,,,,,,,,,9.0,7.0,0.0,0.0,1,6.0,1~GD,46.0,0.0,20180721090606.0,21077.0,,0.83,0.83
105,,,SGTHUS,,,2.5,0.8,-2.5,0.87,174.5,0.83,172.5,0.83,174.5,,9481210.0,0.83,,,,,,,,,,9.0,7.0,0.0,0.0,1,6.0,1~GD,46.0,0.0,20180721090606.0,21077.0,,0.83,0.83
106,,,SGTHUS,,,2.5,0.8,-2.5,0.87,174.5,0.83,174.5,0.83,174.5,,9481210.0,0.83,,,,,,,,,,9.0,9.0,0.0,0.0,1,6.0,1~GD,45.0,0.0,20180721090615.0,21077.0,,0.83,0.83
107,,,SGTHUS,,,1.5,0.77,-1.5,0.87,174.5,0.83,174.5,0.83,1.5,,9481210.0,0.83,,,,,,,,,,9.0,9.0,0.0,0.0,1,6.0,1~GD,45.0,0.0,20180721090615.0,21077.0,,0.83,0.83
