,ED,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,13,13,27,28,,22,23,-1,0,,0,1,,73.3,69.7,115,118,0,1,0,1.0,0,20181010034711,21078
1,,^,13,13,27,28,,22,23,-1,0,1.0,0,1,,73.3,69.7,115,118,0,1,0,1.0,0,20181010034726.0,11086^21077
2,,1:2,13,13,27,28,,22,23,-1,0,1.0,0,1,,73.3,69.7,115,118,0,1,0,1.0,0,20181010034729.0,21078.0
3,,1:2^2:2,13,13,27,28,24.0,22,23,-1,0,1.0,0,1,70.6,73.3,69.7,115,119,0,1,0,1.0,0,20181010034740.0,21079^21078
4,,2:2^,13,13,27,28,24.0,22,23,-1,0,1.0,0,1,68.6,73.3,69.7,115,119,0,1,0,1.0,1.0,20181010034750.0,21080^11077
5,,2:2^,13,13,27,28,24.0,22,23,-1,0,1.0,0,1,68.6,73.3,69.7,115,119,0,1,0,1.0,1.0,20181010034751.0,21080^11077
6,,,13,13,27,28,24.0,22,23,-1,0,1.0,0,1,68.6,73.3,69.7,115,119,0,1,0,0.0,1.0,20181010034752.0,11077.0
7,,,13,13,27,28,24.0,22,23,-1,0,1.0,0,1,68.6,73.3,69.7,115,119,0,1,0,0.0,1.0,20181010034752.0,11077.0
8,,,13,13,27,28,24.0,22,23,-1,0,1.0,0,1,68.6,73.3,69.7,115,119,0,1,0,0.0,1.0,20181010034757.0,11094.0
9,,,13,13,27,28,24.0,22,23,-1,0,1.0,0,1,68.6,73.3,69.7,115,119,0,1,0,0.0,1.0,20181010034811.0,21077.0
10,,,13,13,27,28,24.0,22,23,-1,0,1.0,0,1,68.6,73.3,69.7,115,119,0,1,0,0.0,1.0,20181010034811.0,1084.0
11,,,13,13,27,28,24.0,22,23,-1,0,1.0,0,1,68.6,73.3,69.7,115,119,0,1,0,0.0,1.0,20181010034812.0,1084.0
12,,,13,13,27,28,24.0,22,23,-1,0,1.0,0,1,68.6,73.3,69.7,115,119,0,1,0,0.0,1.0,20181010034812.0,1084.0
