,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S1_a,S2,S2_a,S3,S3_a,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
33,,,,,15.5,0.83,-15.5,0.83,148.5,0.87,148.5,0.8,148.5,,0.0,1:2^2:2,,,5,,10,,3,4,2.0,0,,37.5,,38,31.0,0.0,1,9.0,40.0,0.0,20180721013314.0,21079^21078,0.0,0.0
34,,,,,15.5,0.8,-15.5,0.87,148.5,0.87,148.5,0.8,148.5,,0.0,2:2^,,,5,,10,,3,4,2.0,0,,37.5,,38,31.0,0.0,1,9.0,40.0,0.0,20180721013314.0,21079^11077,0.0,0.0
35,,,,,15.5,0.8,-15.5,0.87,148.5,0.87,148.5,0.8,148.5,,0.0,,,,5,,10,,3,4,2.0,0,,37.5,,38,31.0,0.0,1,9.0,40.0,1.0,20180721013321.0,11077.0,0.0,0.0
36,,,,,15.5,0.8,-15.5,0.87,148.5,0.83,148.5,0.83,148.5,,0.0,,,,5,,10,,3,4,2.0,0,,37.5,,38,31.0,0.0,1,9.0,40.0,1.0,20180721013321.0,11077.0,0.0,0.0
37,,,,,15.5,0.8,-15.5,0.87,148.5,0.83,148.5,0.83,148.5,,0.0,,,,5,,10,,3,4,2.0,0,,37.5,,38,31.0,0.0,1,9.0,32.0,1.0,20180721013329.0,11077.0,0.0,0.0
38,,,,,15.5,0.8,-15.5,0.87,148.5,0.8,148.5,0.87,148.5,,0.0,,,,5,,10,,3,4,2.0,0,,37.5,,38,31.0,0.0,1,9.0,32.0,1.0,20180721013329.0,11077.0,0.0,0.0
39,,,,,15.5,0.8,-15.5,0.87,148.5,0.8,148.5,0.87,148.5,,0.0,,,,5,,10,,3,4,2.0,0,,37.5,,38,31.0,0.0,1,9.0,29.0,1.0,20180721013333.0,11077.0,0.0,0.0
40,,,,,15.5,0.8,-15.5,0.87,147.5,0.83,148.5,0.83,147.5,,0.0,,,,5,,10,,3,4,2.0,0,,37.5,,38,31.0,0.0,1,9.0,29.0,1.0,20180721013333.0,11095.0,0.0,0.0
41,,,,,15.5,0.8,-15.5,0.87,147.5,0.83,147.5,0.83,147.5,,0.0,,,,5,,10,,3,4,2.0,0,,37.5,,38,31.0,0.0,1,9.0,25.0,1.0,20180721013337.0,11095.0,0.0,0.0
42,,,,,15.5,0.8,-15.5,0.87,150.5,0.8,147.5,0.83,150.5,,0.0,,,,5,,10,,3,4,2.0,0,,37.5,40.0,38,31.0,0.0,1,9.0,25.0,1.0,20180721013337.0,11077.0,0.0,0.0
43,,,,,15.5,0.8,-15.5,0.87,150.5,0.8,150.5,0.87,150.5,,0.0,,,,5,,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,9.0,24.0,1.0,20180721013338.0,11077.0,0.0,0.0
44,,,,,16.5,0.83,-16.5,0.87,150.5,0.8,150.5,0.87,16.5,,0.0,,,,5,,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,9.0,24.0,1.0,20180721013338.0,11077.0,0.0,0.0
45,,,,,16.5,0.83,-16.5,0.83,150.5,0.8,150.5,0.87,-16.5,,0.0,^,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,9.0,24.0,1.0,20180721013338.0,11074^21077,0.0,0.0
46,,,,,16.5,0.83,-16.5,0.83,149.5,0.83,150.5,0.83,149.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,9.0,24.0,1.0,20180721013338.0,21077.0,0.0,0.0
47,,,,,16.5,0.83,-16.5,0.83,149.5,0.83,149.5,0.83,149.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,9.0,16.0,1.0,20180721013347.0,21077.0,0.0,0.0
48,,,,,16.5,0.83,-16.5,0.83,149.5,0.8,149.5,0.87,149.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,9.0,16.0,1.0,20180721013347.0,21077.0,0.0,0.0
49,,,,,16.5,0.83,-16.5,0.83,149.5,0.8,149.5,0.87,149.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,9.0,12.0,1.0,20180721013349.0,21077.0,0.0,0.0
50,,,,,16.5,0.83,-16.5,0.83,148.5,0.83,149.5,0.87,148.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,9.0,12.0,1.0,20180721013349.0,21094.0,0.0,0.0
51,,,,,16.5,0.83,-16.5,0.83,148.5,0.83,148.5,0.83,148.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,9.0,8.0,1.0,20180721013353.0,21094.0,0.0,0.0
52,,,,,16.5,0.87,-16.5,0.8,148.5,0.8,148.5,0.87,148.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,9.0,8.0,1.0,20180721013353.0,11077.0,0.0,0.0
53,,,,,16.5,0.87,-16.5,0.8,148.5,0.8,148.5,0.87,148.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,9.0,0.0,1.0,20180721013401.0,11077.0,0.0,0.0
54,,,,,16.5,0.87,-16.5,0.8,147.5,0.87,148.5,0.8,147.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,9.0,0.0,1.0,20180721013401.0,11077.0,0.0,0.0
55,,,,,16.5,0.87,-16.5,0.8,147.5,0.87,147.5,0.8,147.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,8.0,57.0,0.0,20180721013404.0,11077.0,0.0,0.0
56,,,,,16.5,0.87,-16.5,0.8,147.5,0.87,147.5,0.8,147.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,8.0,57.0,0.0,20180721013404.0,11077.0,0.0,0.0
57,,,,,16.5,0.87,-16.5,0.8,147.5,0.87,147.5,0.8,147.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,8.0,57.0,0.0,20180721013406.0,11077.0,0.0,0.0
58,,,,,16.5,0.87,-16.5,0.8,147.5,0.87,147.5,0.8,147.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,8.0,57.0,0.0,20180721013406.0,11077.0,0.0,0.0
59,,,,,16.5,0.87,-16.5,0.8,147.5,0.87,147.5,0.8,147.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,8.0,57.0,0.0,20180721013408.0,11077.0,0.0,0.0
60,,,,,16.5,0.87,-16.5,0.8,149.5,0.83,147.5,0.8,149.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,8.0,57.0,0.0,20180721013408.0,21086.0,0.0,0.0
61,,,,,16.5,0.87,-16.5,0.8,149.5,0.83,149.5,0.83,149.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,8.0,57.0,0.0,20180721013414.0,21086.0,0.0,0.0
62,,,,,18.5,0.83,-18.5,0.8,149.5,0.83,149.5,0.83,18.5,,0.0,,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,8.0,57.0,0.0,20180721013414.0,21086.0,0.0,0.0
63,,,,,18.5,0.83,-18.5,0.83,149.5,0.87,149.5,0.83,-18.5,,0.0,1:3,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,8.0,57.0,0.0,20180721013414.0,11078.0,0.0,0.0
64,,,,,18.5,0.83,-18.5,0.83,148.5,0.87,149.5,0.8,148.5,,0.0,1:3,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,8.0,57.0,0.0,20180721013414.0,11078.0,0.0,0.0
65,,,,,18.5,0.83,-18.5,0.83,148.5,0.87,148.5,0.8,148.5,,0.0,1:3,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,8.0,57.0,0.0,20180721013424.0,11078.0,0.0,0.0
66,,,,,17.5,0.83,-17.5,0.83,148.5,0.87,148.5,0.8,17.5,,0.0,1:3,,,5,11.0,10,,3,4,2.0,0,,37.5,40.0,40,31.0,0.0,1,8.0,57.0,0.0,20180721013424.0,11078.0,0.0,0.0
67,,,,,17.5,0.83,-17.5,0.83,148.5,0.83,148.5,0.83,-17.5,,0.0,1:3^2:3,,,5,11.0,10,,3,4,2.0,0,33.3,37.5,40.0,40,31.0,0.0,1,8.0,57.0,0.0,20180721013438.0,11080^11078,0.0,0.0
