,AM,AS,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,121.5,0.8333333333333334,121.5,0.8333333333333334,,,,,,6,5,10.0,18.0,12.0,4.0,2.0,2.0,3.0,3.0,75.0,44.4,50,55,0,1,4.0,20.0,0,20181023014114,21077^21081,0.18181818181818182,3.4
1,,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,121.5,0.8333333333333334,121.5,0.8333333333333334,,,,,,6,5,10.0,18.0,12.0,4.0,2.0,2.0,3.0,3.0,75.0,44.4,50,55,0,1,4.0,20.0,1.0,20181023014247.0,21077.0,0.18181818181818182,3.4
2,,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,120.5,1.0,120.5,0.7142857142857143,,,,,,6,5,10.0,18.0,12.0,4.0,2.0,2.0,3.0,3.0,75.0,44.4,50,55,0,1,4.0,11.0,1.0,20181023014255.0,21077.0,0.18181818181818182,3.4
3,,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,120.5,0.8695652173913043,120.5,0.8,,,,,,6,5,10.0,18.0,12.0,4.0,2.0,2.0,3.0,3.0,75.0,44.4,50,55,0,1,4.0,8.0,1.0,20181023014300.0,21077.0,0.18181818181818182,3.4
4,,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,120.5,0.7692307692307693,120.5,0.9090909090909091,,14.0,,,,6,5,10.0,18.0,12.0,4.0,2.0,2.0,3.0,3.0,75.0,44.4,50,55,0,1,3.0,59.0,1.0,20181023014308.0,21077.0,0.16666666666666666,3.5
5,,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,120.5,0.7142857142857143,120.5,1.0,,14.0,,,,6,5,10.0,18.0,12.0,4.0,2.0,2.0,3.0,3.0,75.0,44.4,50,55,0,1,3.0,57.0,0.0,20181023014310.0,21077.0,0.16666666666666666,3.5
6,,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,120.5,0.7142857142857143,120.5,1.0,,14.0,,,,6,5,10.0,18.0,12.0,4.0,2.0,2.0,3.0,3.0,75.0,44.4,50,55,0,1,3.0,57.0,0.0,20181023014318.0,11086.0,0.16666666666666666,3.5
7,,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,121.5,0.8,121.5,0.8695652173913043,,14.0,1:2,,,6,5,10.0,18.0,12.0,4.0,2.0,2.0,3.0,3.0,75.0,44.4,50,55,0,1,3.0,57.0,0.0,20181023014330.0,21078.0,0.16666666666666666,3.5
8,,,,4.0,-5.5,0.9090909090909091,5.5,0.7692307692307693,121.5,0.8,121.5,0.8695652173913043,,14.0,^1:2,1.0,,6,5,10.0,18.0,12.0,5.0,2.0,2.0,4.0,3.0,75.0,50.0,50,55,0,1,3.0,57.0,0.0,20181023014330.0,11086^21078,0.16666666666666666,3.5
9,,,,4.0,-5.5,0.8,5.5,0.8695652173913043,122.5,0.7142857142857143,122.5,1.0,,14.0,2:2,1.0,,6,5,10.0,18.0,12.0,6.0,2.0,2.0,4.0,3.0,75.0,54.5,50,57,0,1,3.0,57.0,0.0,20181023014353.0,21079.0,0.11764705882352941,4.75
10,,,,4.0,-5.5,0.8,5.5,0.8695652173913043,122.5,0.7142857142857143,122.5,1.0,,14.0,2:2,1.0,,6,5,10.0,18.0,12.0,6.0,2.0,2.0,4.0,3.0,75.0,54.5,50,57,0,1,3.0,57.0,0.0,20181023014357.0,21079.0,0.11764705882352941,4.75
11,,,,4.0,-5.5,0.8,5.5,0.8695652173913043,122.5,0.7142857142857143,122.5,1.0,,14.0,2:2,1.0,,6,5,10.0,18.0,12.0,6.0,2.0,2.0,4.0,3.0,75.0,54.5,50,57,0,1,3.0,57.0,1.0,20181023014401.0,21079.0,0.11764705882352941,4.75
12,,,,4.0,-5.5,0.8,5.5,0.8695652173913043,121.5,0.8333333333333334,121.5,0.8333333333333334,,14.0,2:2,1.0,,6,5,10.0,18.0,12.0,6.0,2.0,2.0,4.0,3.0,75.0,54.5,50,57,0,1,3.0,48.0,1.0,20181023014409.0,21079.0,0.11764705882352941,4.75
13,,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,123.5,0.7692307692307693,123.5,0.9090909090909091,,14.0,^,1.0,,6,5,11.0,18.0,12.0,6.0,2.0,2.0,4.0,3.0,75.0,54.5,52,57,0,1,3.0,41.0,1.0,20181023014417.0,11074^21077,0.16666666666666666,3.5
14,,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,123.5,0.7692307692307693,123.5,0.9090909090909091,,14.0,^,1.0,,6,5,11.0,18.0,12.0,6.0,2.0,2.0,4.0,3.0,75.0,54.5,52,57,0,1,3.0,40.0,1.0,20181023014418.0,11074^21077,0.16666666666666666,3.5
15,,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,123.5,0.7142857142857143,123.5,1.0,,14.0,,1.0,,6,5,11.0,18.0,12.0,6.0,2.0,2.0,4.0,3.0,75.0,54.5,52,57,0,1,3.0,39.0,1.0,20181023014419.0,21077.0,0.15384615384615385,3.75
16,,,,4.0,-4.5,0.7142857142857143,4.5,1.0,122.5,0.8333333333333334,122.5,0.8333333333333334,,14.0,,1.0,,6,5,11.0,18.0,12.0,6.0,2.0,2.0,4.0,3.0,75.0,54.5,52,57,0,1,3.0,30.0,1.0,20181023014428.0,21077.0,0.15384615384615385,3.75
17,,,,4.0,-4.5,0.7142857142857143,4.5,1.0,121.5,1.0,121.5,0.7142857142857143,,14.0,,1.0,,6,5,11.0,18.0,12.0,6.0,2.0,2.0,4.0,3.0,75.0,54.5,52,57,0,1,3.0,22.0,1.0,20181023014436.0,21077.0,0.14285714285714285,4.0
