,AM,AS,ED,LM,PG,S1_h,S2_h,S3_h,S4_h,S5,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,8,19,29,-2,,10,78.4,,93,0,1,0,15.0,0,20181019024330,11081
1,,,,,^,8,19,29,-2,11.0,10,78.4,,93,0,1,0,15.0,0,20181019024515.0,21086^11077
2,,,,,1:2,8,19,29,-2,11.0,10,78.4,,93,0,1,0,15.0,0,20181019024522.0,11078.0
3,,,,,1:2^2:2,8,19,29,-2,11.0,10,78.4,95.0,93,0,1,0,15.0,0,20181019024540.0,11079^11078
4,,,,,2:2^,8,19,29,-2,11.0,10,78.4,96.0,93,0,1,0,15.0,0,20181019024555.0,11079^21077
5,,,,,,8,19,29,-2,11.0,10,78.4,96.0,93,0,1,0,15.0,1.0,20181019024556.0,21077.0
6,,,,1.0,,8,19,29,-2,11.0,10,78.4,96.0,93,0,1,0,7.0,1.0,20181019024604.0,21094.0
7,,,,1.0,,8,19,29,-2,11.0,10,78.4,96.0,93,0,1,0,6.0,1.0,20181019024605.0,11077.0
8,,,,1.0,,8,19,29,-2,11.0,10,78.4,96.0,93,0,1,0,4.0,0.0,20181019024606.0,11077.0
9,,,,1.0,^,8,19,29,-2,12.0,10,78.4,96.0,93,0,1,0,4.0,0.0,20181019024613.0,21086^11077
10,,,,2.0,1:2,8,19,29,-2,12.0,10,78.4,96.0,93,0,1,0,4.0,0.0,20181019024624.0,11078.0
11,,,,1.0,1:2^2:2,8,19,29,-2,12.0,10,78.4,96.0,93,0,1,0,4.0,0.0,20181019024645.0,11080^11078
12,,,,1.0,2:2^,8,19,29,-2,12.0,10,78.4,97.0,93,0,1,0,4.0,0.0,20181019024703.0,11079^21077
13,,,,1.0,,8,19,29,-2,12.0,10,78.4,97.0,93,0,1,0,4.0,1.0,20181019024704.0,21077.0
14,,,,1.0,,8,19,29,-2,12.0,10,78.4,97.0,93,0,1,0,0.0,0.0,20181019024709.0,21077.0
15,,,,1.0,,8,19,29,-2,12.0,10,78.4,97.0,93,0,1,0,0.0,0.0,20181019024709.0,1084.0
16,,,,1.0,,8,19,29,-2,12.0,10,78.4,97.0,93,0,1,0,0.0,0.0,20181019024729.0,1084.0
17,,,,1.0,,8,19,29,-2,12.0,10,78.4,97.0,93,0,1,0,0.0,0.0,20181019024729.0,1084.0
