,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,1.5,0.0,-1.5,0.0,,,,,5,4,,21,21,,11,11,,2,3,,11,3,,73.3,52.4,67,65,0,1,1.0,12.0,0,20181020104518,21078
1,,,4.0,1.5,0.0,-1.5,0.0,,1:2^2:2,,,5,4,,21,21,12.0,11,11,,2,3,,11,3,54.5,73.3,52.4,67,66,0,1,1.0,12.0,0,20181020104538.0,21079^21078
2,,,4.0,2.5,0.0,-2.5,0.0,,2:2^,,,5,4,,21,21,12.0,11,11,,2,3,,11,3,52.2,73.3,52.4,67,66,0,1,1.0,12.0,1.0,20181020104552.0,21080^11077
3,,,4.0,2.5,0.0,-2.5,0.0,,,,,5,4,,21,21,12.0,11,11,,2,3,,11,3,52.2,73.3,52.4,67,66,0,1,1.0,12.0,1.0,20181020104553.0,11077.0
4,,,4.0,2.5,0.0,-2.5,0.0,,,,,5,4,,21,21,12.0,11,11,,2,3,,11,3,52.2,73.3,52.4,67,66,0,1,1.0,11.0,1.0,20181020104554.0,11077.0
5,,,4.0,2.5,0.0,-2.5,0.0,,,,,5,4,,21,21,12.0,11,11,,2,3,,11,3,52.2,73.3,52.4,67,66,0,1,1.0,3.0,1.0,20181020104602.0,11077.0
6,,,4.0,2.5,0.0,-2.5,0.0,,,,,5,4,,21,21,12.0,11,11,,2,3,,11,3,52.2,73.3,52.4,67,66,0,1,1.0,4.0,1.0,20181020104602.0,11077.0
7,,,4.0,2.5,0.0,-2.5,0.0,,,,,5,4,,21,21,12.0,11,11,,2,3,,11,3,52.2,73.3,52.4,67,66,0,1,0.0,55.0,1.0,20181020104610.0,11077.0
8,,,4.0,2.5,0.0,-2.5,0.0,,,,,5,4,,21,21,12.0,11,11,,2,3,,11,3,52.2,73.3,52.4,67,66,0,1,0.0,55.0,1.0,20181020104611.0,11077.0
9,,,4.0,3.5,0.0,-3.5,0.0,,^,,6.0,5,4,,21,21,12.0,11,11,,2,3,,11,3,52.2,73.3,52.4,70,66,0,1,0.0,49.0,1.0,20181020104617.0,11075^21077
10,,,4.0,3.5,0.0,-3.5,0.0,,,,6.0,5,4,,21,21,12.0,11,11,,2,3,,11,3,52.2,73.3,52.4,70,66,0,1,0.0,48.0,1.0,20181020104617.0,21077.0
11,,,4.0,3.5,0.0,-3.5,0.0,,,,6.0,5,4,,21,21,12.0,11,11,,2,3,,11,3,52.2,73.3,52.4,70,66,0,1,0.0,41.0,1.0,20181020104625.0,21077.0
12,,,4.0,3.5,0.0,-3.5,0.0,,,,6.0,5,4,,21,21,12.0,11,11,,2,3,,11,3,52.2,73.3,52.4,70,66,0,1,0.0,39.0,0.0,20181020104626.0,21077.0
13,,,4.0,3.5,0.0,-3.5,0.0,,^,,6.0,5,4,,21,21,12.0,11,11,,2,3,12.0,11,3,52.2,73.3,52.4,70,66,0,1,0.0,40.0,0.0,20181020104633.0,11086^21077
14,,,4.0,3.5,0.0,-3.5,0.0,,^,,6.0,5,4,,21,21,12.0,11,11,,2,3,12.0,11,3,52.2,73.3,52.4,70,66,0,1,0.0,40.0,0.0,20181020104653.0,11086^21077
15,,,4.0,2.5,0.0,-2.5,0.0,,^,,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,12.0,11,3,52.2,73.3,52.4,70,68,0,1,0.0,40.0,0.0,20181020104655.0,21074^11077
16,,,4.0,2.5,0.0,-2.5,0.0,,^,,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,12.0,11,3,52.2,73.3,52.4,70,68,0,1,0.0,40.0,0.0,20181020104656.0,11086^21077
17,,,4.0,2.5,0.0,-2.5,0.0,,^,,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,12.0,11,3,52.2,73.3,52.4,70,68,0,1,0.0,40.0,0.0,20181020104657.0,11086^21077
18,,,4.0,2.5,0.0,-2.5,0.0,,1:1,,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,12.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,40.0,0.0,20181020104657.0,21078.0
19,,,4.0,2.5,0.0,-2.5,0.0,,,,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,12.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,40.0,0.0,20181020104708.0,11077.0
20,,,4.0,2.5,0.0,-2.5,0.0,,,,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,12.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,39.0,0.0,20181020104709.0,11077.0
21,,,4.0,2.5,0.0,-2.5,0.0,,,,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,12.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,39.0,0.0,20181020104710.0,11077.0
22,,,4.0,2.5,0.0,-2.5,0.0,,,,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,12.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,33.0,0.0,20181020104716.0,11077.0
23,,,4.0,2.5,0.0,-2.5,0.0,,,,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,12.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,30.0,0.0,20181020104716.0,11077.0
24,,,4.0,2.5,0.0,-2.5,0.0,2.0,,,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,12.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,25.0,0.0,20181020104724.0,11077.0
25,,,4.0,2.5,0.0,-2.5,0.0,2.0,,,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,12.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,20.0,0.0,20181020104729.0,11077.0
26,,,4.0,2.5,0.0,-2.5,0.0,2.0,,,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,12.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,19.0,0.0,20181020104729.0,11077.0
27,,,4.0,2.5,0.0,-2.5,0.0,2.0,,,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,12.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,19.0,0.0,20181020104730.0,11077.0
28,,,4.0,2.5,0.0,-2.5,0.0,2.0,^,1.0,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,4.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,19.0,0.0,20181020104745.0,21086^11077
29,,,4.0,3.5,0.0,-3.5,0.0,2.0,1:2,1.0,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,4.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,19.0,0.0,20181020104747.0,11078.0
30,,,4.0,2.5,0.0,-2.5,0.0,2.0,1:2,1.0,6.0,5,4,22.0,21,21,12.0,11,11,,2,3,4.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,19.0,0.0,20181020104754.0,11078.0
31,44.0,5.0,4.0,2.5,0.0,-2.5,0.0,2.0,,1.0,6.0,5,4,22.0,21,21,12.0,11,11,1.0,2,3,4.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,19.0,0.0,20181020104808.0,11081.0
32,,,4.0,2.5,0.0,-2.5,0.0,2.0,,1.0,6.0,5,4,22.0,21,21,12.0,11,11,1.0,2,3,4.0,11,3,50.0,73.3,52.4,70,68,0,1,0.0,19.0,1.0,20181020104946.0,11077.0
