,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,1.5,0.7142857142857143,-1.5,1.0,,,,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,,77,76,0,1,2.0,35.0,1,20181020135634,21077
1,,,4.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,,,,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,,77,76,0,1,2.0,32.0,1,20181020135637.0,21077
2,,,4.0,1.5,0.7142857142857143,-1.5,1.0,,,,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,,77,76,0,1,2.0,25.0,1,20181020135643.0,21077.0
3,,,4.0,1.5,0.7142857142857143,-1.5,1.0,,,,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,,77,76,0,1,2.0,16.0,1,20181020135652.0,21077.0
4,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,,,,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,78.0,77,78,0,1,2.0,15.0,1,20181020135655.0,11077.0
5,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,,,,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,78.0,77,78,0,1,2.0,5.0,1,20181020135704.0,11077.0
6,,,4.0,-2.5,1.0,2.5,0.7142857142857143,,,,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,78.0,77,78,0,1,2.0,0.0,1,20181020135706.0,21077.0
7,,,4.0,-2.5,0.0,2.5,0.0,3.0,,,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,78.0,77,78,0,1,1.0,51.0,1,20181020135714.0,21077.0
8,,,4.0,-2.5,0.0,2.5,0.0,3.0,,,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,78.0,77,78,0,1,1.0,43.0,1,20181020135723.0,21077.0
9,,,4.0,-2.5,0.0,2.5,0.0,3.0,,,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,78.0,77,78,0,1,1.0,42.0,0.0,20181020135723.0,21077.0
10,,,4.0,-2.5,0.0,2.5,0.0,3.0,,,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,78.0,77,78,0,1,1.0,42.0,1.0,20181020135854.0,21077.0
11,,,4.0,-2.5,0.0,2.5,0.0,3.0,,,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,78.0,77,78,0,1,1.0,42.0,1.0,20181020135855.0,21077.0
12,,,4.0,-2.5,0.0,2.5,0.0,3.0,,,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,78.0,77,78,0,1,1.0,33.0,1.0,20181020135903.0,21077.0
13,,,4.0,-3.5,0.0,3.5,0.0,3.0,,,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,78.0,77,81,0,1,1.0,29.0,1.0,20181020135908.0,21077.0
14,,,4.0,-3.5,0.0,3.5,0.0,3.0,^,6.0,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,78.0,77,81,0,1,1.0,29.0,1.0,20181020135908.0,21075^11077
15,,,4.0,-3.5,0.0,3.5,0.0,3.0,^,6.0,7,5,,20,27,,14,9,,1,2,,6,4,,60.9,52.9,78.0,77,81,0,1,1.0,25.0,0.0,20181020135911.0,21075^11077
16,44.0,5.0,4.0,-3.5,0.0,3.5,0.0,3.0,^,6.0,7,5,,20,27,,14,9,0.0,1,2,,6,4,,60.9,52.9,78.0,77,81,0,1,1.0,26.0,0.0,20181020135912.0,11081.0
17,44.0,5.0,4.0,-3.5,0.0,3.5,0.0,3.0,^,6.0,7,5,,20,27,,14,9,0.0,1,2,,6,4,,60.9,52.9,78.0,77,81,0,1,1.0,26.0,0.0,20181020135913.0,11081.0
18,44.0,5.0,4.0,-3.5,0.0,3.5,0.0,3.0,^,6.0,7,5,,20,27,,14,9,0.0,1,2,,6,4,,60.9,52.9,78.0,77,81,0,1,1.0,25.0,1.0,20181020140049.0,11081.0
19,44.0,5.0,4.0,-3.5,0.0,3.5,0.0,3.0,^,6.0,7,5,,20,27,,14,9,0.0,1,2,,6,4,,60.9,52.9,78.0,77,81,0,1,1.0,16.0,1.0,20181020140057.0,11081.0
20,44.0,5.0,4.0,-3.5,0.0,3.5,0.0,3.0,^,6.0,7,5,,20,27,,14,9,0.0,1,2,5.0,6,4,,60.9,52.9,78.0,77,81,0,1,1.0,17.0,0.0,20181020140101.0,21086^11077
