,ED,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,5,4,,24,14,,9,12,3,1,,4,5,,60.0,80.0,72,52,0,1,1.0,29.0,0,20181027164222,21080^21078
1,,2:2^,5,4,,24,14,13.0,9,12,3,1,,4,5,81.2,60.0,80.0,72,53,0,1,1.0,29.0,0,20181027164231.0,21079^11077
2,,2:2^,5,4,,24,14,13.0,9,12,3,1,,4,5,81.2,60.0,80.0,72,53,0,1,1.0,29.0,1.0,20181027164231.0,21079^11077
3,,2:2^,5,4,,24,14,13.0,9,12,3,1,,4,5,81.2,60.0,80.0,72,53,0,1,1.0,28.0,0.0,20181027164231.0,21079^11077
4,,2:2^,5,4,,24,14,13.0,9,12,3,1,,4,5,81.2,60.0,80.0,72,53,0,1,1.0,28.0,1.0,20181027164237.0,21079^11077
5,,2:2^,5,4,,24,14,13.0,9,12,3,1,,4,5,81.2,60.0,80.0,72,53,0,1,1.0,27.0,1.0,20181027164239.0,21077.0
6,,,5,4,,24,14,13.0,9,12,3,1,,4,5,81.2,60.0,80.0,72,53,0,1,1.0,27.0,1.0,20181027164241.0,11077.0
7,,,5,4,,24,14,13.0,9,12,3,1,,4,5,81.2,60.0,80.0,72,53,0,1,1.0,23.0,0.0,20181027164242.0,11077.0
8,,,5,4,,24,14,13.0,9,12,3,1,,4,5,81.2,60.0,80.0,72,53,0,1,1.0,23.0,1.0,20181027164317.0,11077.0
9,,,5,4,,24,14,13.0,9,12,3,1,,4,5,81.2,60.0,80.0,72,53,0,1,1.0,14.0,1.0,20181027164326.0,11077.0
10,,,5,4,,24,14,13.0,9,12,3,1,,4,5,81.2,60.0,80.0,72,53,0,1,1.0,6.0,1.0,20181027164334.0,11077.0
11,,,5,4,,24,14,13.0,9,12,3,1,,4,5,81.2,60.0,80.0,72,53,0,1,1.0,5.0,1.0,20181027164335.0,11095.0
12,,,5,4,,24,14,13.0,9,12,3,1,,4,5,81.2,60.0,80.0,72,53,0,1,1.0,5.0,0.0,20181027164336.0,11077.0
13,,^,5,4,,24,14,13.0,9,12,3,1,6.0,4,5,81.2,60.0,80.0,72,53,0,1,1.0,5.0,0.0,20181027164344.0,21086^11077
14,,1:2,5,4,,24,14,13.0,9,12,3,1,6.0,4,5,81.2,60.0,80.0,72,53,0,1,1.0,5.0,0.0,20181027164345.0,11078.0
15,,1:2^2:2,5,4,,24,14,13.0,9,12,3,1,6.0,4,5,56.2,60.0,80.0,72,53,0,1,1.0,5.0,0.0,20181027164359.0,11080^11078
16,,2:2^,5,4,,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,73,55,0,1,1.0,4.0,0.0,20181027164414.0,11079^21077
17,,,5,4,,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,73,55,0,1,1.0,4.0,0.0,20181027164414.0,21077.0
18,,,5,4,,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,73,55,0,1,0.0,55.0,0.0,20181027164424.0,21077.0
19,,,5,4,,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,73,55,0,1,0.0,47.0,0.0,20181027164432.0,21077.0
20,,,5,4,,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,73,55,0,1,0.0,47.0,0.0,20181027164433.0,11077.0
21,,^,5,4,25.0,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,75,55,0,1,0.0,42.0,0.0,20181027164438.0,11074^21077
22,,^,5,4,25.0,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,75,55,0,1,0.0,42.0,0.0,20181027164438.0,11074^21077
23,,^,5,4,25.0,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,75,55,0,1,0.0,42.0,1.0,20181027164441.0,11074^21077
24,,^,5,4,25.0,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,75,55,0,1,0.0,33.0,1.0,20181027164450.0,11074^21077
25,,^,5,4,25.0,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,75,55,0,1,0.0,26.0,1.0,20181027164457.0,11077.0
26,,^,5,4,25.0,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,75,55,0,1,0.0,17.0,1.0,20181027164506.0,11077.0
27,,^,5,4,25.0,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,75,55,0,1,0.0,9.0,1.0,20181027164514.0,11077.0
28,,^,5,4,25.0,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,75,55,0,1,0.0,1.0,1.0,20181027164522.0,11077.0
29,,^,5,4,25.0,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,75,55,0,1,0.0,0.0,0.0,20181027164523.0,11077.0
30,,^,5,4,25.0,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,75,55,0,1,0.0,0.0,0.0,20181027164530.0,11077.0
31,,^,5,4,25.0,24,14,10.0,9,12,3,1,6.0,4,5,58.8,60.0,80.0,75,55,0,1,0.0,0.0,0.0,20181027164530.0,1084.0
